'Time','II','PLETH','ABP','III'
'hh:mm:ss.mmm','mV','NU','mmHg','mV'
'[18:52:10.224]',0.227,0.345,54.688,-
'[18:52:10.232]',0.211,0.341,55.469,-
'[18:52:10.240]',0.195,0.337,56.250,-
'[18:52:10.248]',0.188,0.337,56.250,-
'[18:52:10.256]',0.180,0.337,57.031,-
'[18:52:10.264]',0.180,0.341,57.031,-
'[18:52:10.272]',0.188,0.345,57.031,-
'[18:52:10.280]',0.188,0.349,57.031,-
'[18:52:10.288]',0.188,0.357,57.031,-
'[18:52:10.296]',0.172,0.369,57.031,-
'[18:52:10.304]',0.188,0.384,56.250,-
'[18:52:10.312]',0.266,0.400,56.250,-
'[18:52:10.320]',0.477,0.420,56.250,-
'[18:52:10.328]',0.742,0.439,55.469,-
'[18:52:10.336]',0.867,0.459,55.469,-
'[18:52:10.344]',0.836,0.478,54.688,-
'[18:52:10.352]',0.711,0.494,53.906,-
'[18:52:10.360]',0.539,0.510,53.125,-
'[18:52:10.368]',0.375,0.522,52.344,-
'[18:52:10.376]',0.281,0.533,52.344,-
'[18:52:10.384]',0.234,0.545,51.562,-
'[18:52:10.392]',0.195,0.549,51.562,-
'[18:52:10.400]',0.180,0.557,51.562,-
'[18:52:10.408]',0.164,0.557,50.781,-
'[18:52:10.416]',0.156,0.557,50.781,-
'[18:52:10.424]',0.156,0.557,50.781,-
'[18:52:10.432]',0.156,0.553,50.000,-
'[18:52:10.440]',0.156,0.549,49.219,-
'[18:52:10.448]',0.164,0.545,48.438,-
'[18:52:10.456]',0.172,0.541,48.438,-
'[18:52:10.464]',0.188,0.537,48.438,-
'[18:52:10.472]',0.195,0.529,49.219,-
'[18:52:10.480]',0.211,0.522,48.438,-
'[18:52:10.488]',0.227,0.514,48.438,-
'[18:52:10.496]',0.242,0.510,48.438,-
'[18:52:10.504]',0.250,0.502,47.656,-
'[18:52:10.512]',0.266,0.494,47.656,-
'[18:52:10.520]',0.289,0.490,46.875,-
'[18:52:10.528]',0.312,0.486,47.656,-
'[18:52:10.536]',0.344,0.482,48.438,-
'[18:52:10.544]',0.375,0.478,50.000,-
'[18:52:10.552]',0.422,0.475,51.562,-
'[18:52:10.560]',0.461,0.471,53.906,-
'[18:52:10.568]',0.492,0.471,58.594,-
'[18:52:10.576]',0.531,0.471,65.625,-
'[18:52:10.584]',0.547,0.467,71.875,-
'[18:52:10.592]',0.562,0.467,75.781,-
'[18:52:10.600]',0.539,0.467,78.125,-
'[18:52:10.608]',0.500,0.467,80.469,-
'[18:52:10.616]',0.438,0.467,82.812,-
'[18:52:10.624]',0.391,0.463,84.375,-
'[18:52:10.632]',0.336,0.463,84.375,-
'[18:52:10.640]',0.297,0.459,84.375,-
'[18:52:10.648]',0.273,0.459,82.812,-
'[18:52:10.656]',0.258,0.455,81.250,-
'[18:52:10.664]',0.250,0.455,78.906,-
'[18:52:10.672]',0.242,0.455,76.562,-
'[18:52:10.680]',0.234,0.451,74.219,-
'[18:52:10.688]',0.227,0.447,72.656,-
'[18:52:10.696]',0.227,0.447,70.312,-
'[18:52:10.704]',0.227,0.443,67.969,-
'[18:52:10.712]',0.227,0.439,66.406,-
'[18:52:10.720]',0.227,0.439,64.062,-
'[18:52:10.728]',0.234,0.435,62.500,-
'[18:52:10.736]',0.250,0.431,60.938,-
'[18:52:10.744]',0.281,0.427,60.156,-
'[18:52:10.752]',0.297,0.427,58.594,-
'[18:52:10.760]',0.320,0.424,57.812,-
'[18:52:10.768]',0.352,0.424,57.031,-
'[18:52:10.776]',0.391,0.420,57.031,-
'[18:52:10.784]',0.398,0.416,57.031,-
'[18:52:10.792]',0.375,0.416,57.031,-
'[18:52:10.800]',0.344,0.412,57.031,-
'[18:52:10.808]',0.312,0.408,57.031,-
'[18:52:10.816]',0.281,0.408,57.812,-
'[18:52:10.824]',0.266,0.408,58.594,-
'[18:52:10.832]',0.250,0.408,59.375,-
'[18:52:10.840]',0.242,0.408,59.375,-
'[18:52:10.848]',0.234,0.412,59.375,-
'[18:52:10.856]',0.234,0.420,59.375,-
'[18:52:10.864]',0.234,0.424,60.156,-
'[18:52:10.872]',0.227,0.435,59.375,-
'[18:52:10.880]',0.219,0.447,59.375,-
'[18:52:10.888]',0.211,0.463,59.375,-
'[18:52:10.896]',0.242,0.478,58.594,-
'[18:52:10.904]',0.391,0.494,57.812,-
'[18:52:10.912]',0.672,0.514,57.031,-
'[18:52:10.920]',0.883,0.533,57.031,-
'[18:52:10.928]',0.922,0.549,56.250,-
'[18:52:10.936]',0.812,0.565,55.469,-
'[18:52:10.944]',0.656,0.580,54.688,-
'[18:52:10.952]',0.492,0.588,53.125,-
'[18:52:10.960]',0.367,0.596,52.344,-
'[18:52:10.968]',0.289,0.604,52.344,-
'[18:52:10.976]',0.242,0.608,51.562,-
'[18:52:10.984]',0.211,0.608,51.562,-
'[18:52:10.992]',0.195,0.608,50.781,-
'[18:52:11.000]',0.188,0.608,50.000,-
'[18:52:11.008]',0.188,0.604,50.000,-
'[18:52:11.016]',0.188,0.600,49.219,-
'[18:52:11.024]',0.188,0.592,48.438,-
'[18:52:11.032]',0.188,0.588,48.438,-
'[18:52:11.040]',0.195,0.576,48.438,-
