'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg'
'[13:39:06.904]',0.435,-,0.540,0.445,0.631,2.869,55.878,37.004
'[13:39:06.912]',0.405,-,0.555,0.440,0.627,2.826,55.194,37.004
'[13:39:06.920]',0.375,-,0.585,0.465,0.624,2.775,54.510,37.004
'[13:39:06.928]',0.355,-,0.580,0.470,0.620,2.717,53.875,37.004
'[13:39:06.936]',0.325,-,0.620,0.495,0.616,2.654,53.289,37.004
'[13:39:06.944]',0.320,-,0.615,0.490,0.613,2.585,52.654,37.004
'[13:39:06.952]',0.330,-,0.625,0.500,0.610,2.512,52.068,37.004
'[13:39:06.960]',0.360,-,0.585,0.485,0.606,2.438,51.482,37.004
'[13:39:06.968]',0.370,-,0.590,0.490,0.603,2.363,50.993,37.004
'[13:39:06.976]',0.400,-,0.555,0.475,0.599,2.287,50.407,37.004
'[13:39:06.984]',0.395,-,0.565,0.495,0.596,2.214,49.870,37.004
'[13:39:06.992]',0.410,-,0.535,0.480,0.592,2.150,49.381,37.004
'[13:39:07.000]',0.405,-,0.550,0.495,0.588,2.091,48.991,37.004
'[13:39:07.008]',0.425,-,0.530,0.490,0.584,2.030,48.551,37.004
'[13:39:07.016]',0.415,-,0.545,0.500,0.580,1.971,48.111,37.004
'[13:39:07.024]',0.420,-,0.525,0.495,0.576,1.914,47.672,37.004
'[13:39:07.032]',0.405,-,0.540,0.510,0.572,1.861,47.232,37.004
'[13:39:07.040]',0.420,-,0.525,0.500,0.568,1.811,46.939,37.004
'[13:39:07.048]',0.410,-,0.540,0.510,0.564,1.765,46.597,37.004
'[13:39:07.056]',0.425,-,0.525,0.515,0.560,1.723,46.255,37.004
'[13:39:07.064]',0.415,-,0.520,0.500,0.555,1.684,45.865,37.004
'[13:39:07.072]',0.425,-,0.540,0.520,0.549,1.648,45.474,37.004
'[13:39:07.080]',0.430,-,0.520,0.500,0.544,1.615,45.230,37.004
'[13:39:07.088]',0.485,-,0.525,0.440,0.537,1.584,44.937,37.004
'[13:39:07.096]',0.505,-,0.475,0.415,0.531,1.557,44.546,37.004
'[13:39:07.104]',0.460,-,0.530,0.540,0.523,1.535,44.253,37.004
'[13:39:07.112]',0.485,-,0.740,0.945,0.516,1.519,44.057,37.004
'[13:39:07.120]',-0.500,-,1.291,1.501,0.509,1.506,44.009,37.004
'[13:39:07.128]',-0.500,-,1.271,1.501,0.503,1.489,43.911,37.004
'[13:39:07.136]',-0.500,-,1.316,0.895,0.497,1.469,43.715,37.004
'[13:39:07.144]',-0.380,-,1.025,0.560,0.491,1.449,43.569,37.004
'[13:39:07.152]',0.060,-,0.760,0.490,0.485,1.427,43.374,37.004
'[13:39:07.160]',0.390,-,0.535,0.455,0.479,1.406,43.178,37.004
'[13:39:07.168]',0.515,-,0.470,0.460,0.473,1.384,42.934,37.004
'[13:39:07.176]',0.575,-,0.425,0.445,0.466,1.364,42.739,37.004
'[13:39:07.184]',0.585,-,0.425,0.450,0.460,1.344,42.543,37.004
'[13:39:07.192]',0.610,-,0.400,0.440,0.454,1.327,42.348,37.004
'[13:39:07.200]',0.595,-,0.425,0.455,0.448,1.314,42.152,37.004
'[13:39:07.208]',0.605,-,0.405,0.445,0.442,1.298,42.055,37.004
'[13:39:07.216]',0.595,-,0.425,0.460,0.436,1.281,41.908,37.004
'[13:39:07.224]',0.610,-,0.400,0.455,0.430,1.263,41.859,37.004
'[13:39:07.232]',0.590,-,0.425,0.470,0.424,1.245,41.713,37.004
'[13:39:07.240]',0.595,-,0.420,0.465,0.418,1.228,41.469,37.004
