"'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'"
"'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg'"
"'[22:22:40.880]',-,-,-,-,-,-,-,-"
"'[22:22:40.888]',-,-,-,-,-,-,-,-"
"'[22:22:40.896]',-,-,-,-,-,-,-,-"
"'[22:22:40.904]',-,-,-,-,-,-,-,-"
"'[22:22:40.912]',-,-,-,-,-,-,-,-"
"'[22:22:40.920]',-,-,-,-,-,-,-,-"
"'[22:22:40.928]',-,-,-,-,-,-,-,-"
"'[22:22:40.936]',-,-,-,-,-,-,-,-"
"'[22:22:40.944]',-,-,-,-,-,-,-,-"
"'[22:22:40.952]',-,-,-,-,-,-,-,-"
"'[22:22:40.960]',-,-,-,-,-,-,-,-"
"'[22:22:40.968]',-,-,-,-,-,-,-,-"
"'[22:22:40.976]',-,-,-,-,-,-,-,-"
"'[22:22:40.984]',-,-,-,-,-,-,-,-"
"'[22:22:40.992]',-,-,-,-,-,-,-,-"
"'[22:22:41.000]',-,-,-,-,-,-,-,-"
"'[22:22:41.008]',-,-,-,-,-,-,-,-"
"'[22:22:41.016]',-,-,-,-,-,-,-,-"
"'[22:22:41.024]',-,-,-,-,-,-,-,-"
"'[22:22:41.032]',-,-,-,-,-,-,-,-"
"'[22:22:41.040]',-,-,-,-,-,-,-,-"
"'[22:22:41.048]',-,-,-,-,-,-,-,-"
"'[22:22:41.056]',-,-,-,-,-,-,-,-"
"'[22:22:41.064]',-,-,-,-,-,-,-,-"
"'[22:22:41.072]',-,-,-,-,-,-,-,-"
"'[22:22:41.080]',-,-,-,-,-,-,-,-"
"'[22:22:41.088]',-,-,-,-,-,-,-,-"
"'[22:22:41.096]',-,-,-,-,-,-,-,-"
"'[22:22:41.104]',-,-,-,-,-,-,-,-"
"'[22:22:41.112]',-,-,-,-,-,-,-,-"
"'[22:22:41.120]',-,-,-,-,-,-,-,-"
"'[22:22:41.128]',-,-,-,-,-,-,-,-"
"'[22:22:41.136]',-,-,-,-,-,-,-,-"
"'[22:22:41.144]',-,-,-,-,-,-,-,-"
"'[22:22:41.152]',-,-,-,-,-,-,-,-"
"'[22:22:41.160]',-,-,-,-,-,-,-,-"
"'[22:22:41.168]',-,-,-,-,-,-,-,-"
"'[22:22:41.176]',-,-,-,-,-,-,-,-"
"'[22:22:41.184]',-,-,-,-,-,-,-,-"
"'[22:22:41.192]',-,-,-,-,-,-,-,-"
"'[22:22:41.200]',-,-,-,-,-,-,-,-"
"'[22:22:41.208]',-,-,-,-,-,-,-,-"
"'[22:22:41.216]',-,-,-,-,-,-,-,-"
"'[22:22:41.224]',-,-,-,-,-,-,-,-"
"'[22:22:41.232]',-,-,-,-,-,-,-,-"
"'[22:22:41.240]',-,-,-,-,-,-,-,-"
"'[22:22:41.248]',-,-,-,-,-,-,-,-"
"'[22:22:41.256]',-,-,-,-,-,-,-,-"
"'[22:22:41.264]',-,-,-,-,-,-,-,-"
"'[22:22:41.272]',-,-,-,-,-,-,-,-"
"'[22:22:41.280]',-,-,-,-,-,-,-,-"
"'[22:22:41.288]',-,-,-,-,-,-,-,-"
"'[22:22:41.296]',-,-,-,-,-,-,-,-"
"'[22:22:41.304]',-,-,-,-,-,-,-,-"
"'[22:22:41.312]',-,-,-,-,-,-,-,-"
"'[22:22:41.320]',-,-,-,-,-,-,-,-"
"'[22:22:41.328]',-,-,-,-,-,-,-,-"
"'[22:22:41.336]',-,-,-,-,-,-,-,-"
"'[22:22:41.344]',-,-,-,-,-,-,-,-"
"'[22:22:41.352]',-,-,-,-,-,-,-,-"
"'[22:22:41.360]',-,-,-,-,-,-,-,-"
"'[22:22:41.368]',-,-,-,-,-,-,-,-"
"'[22:22:41.376]',-,-,-,-,-,-,-,-"
"'[22:22:41.384]',-,-,-,-,-,-,-,-"
"'[22:22:41.392]',-,-,-,-,-,-,-,-"
"'[22:22:41.400]',-,-,-,-,-,-,-,-"
"'[22:22:41.408]',-,-,-,-,-,-,-,-"
"'[22:22:41.416]',-,-,-,-,-,-,-,-"
"'[22:22:41.424]',-,-,-,-,-,-,-,-"
"'[22:22:41.432]',-,-,-,-,-,-,-,-"
"'[22:22:41.440]',-,-,-,-,-,-,-,-"
"'[22:22:41.448]',-,-,-,-,-,-,-,-"
"'[22:22:41.456]',-,-,-,-,-,-,-,-"
"'[22:22:41.464]',-,-,-,-,-,-,-,-"
"'[22:22:41.472]',-,-,-,-,-,-,-,-"
"'[22:22:41.480]',-,-,-,-,-,-,-,-"
"'[22:22:41.488]',-,-,-,-,-,-,-,-"
"'[22:22:41.496]',-,-,-,-,-,-,-,-"
"'[22:22:41.504]',-,-,-,-,-,-,-,-"
"'[22:22:41.512]',-,-,-,-,-,-,-,-"
"'[22:22:41.520]',-,-,-,-,-,-,-,-"
"'[22:22:41.528]',-,-,-,-,-,-,-,-"
"'[22:22:41.536]',-,-,-,-,-,-,-,-"
"'[22:22:41.544]',-,-,-,-,-,-,-,-"
"'[22:22:41.552]',-,-,-,-,-,-,-,-"
"'[22:22:41.560]',-,-,-,-,-,-,-,-"
"'[22:22:41.568]',-,-,-,-,-,-,-,-"
"'[22:22:41.576]',-,-,-,-,-,-,-,-"
"'[22:22:41.584]',-,-,-,-,-,-,-,-"
"'[22:22:41.592]',-,-,-,-,-,-,-,-"
"'[22:22:41.600]',-,-,-,-,-,-,-,-"
"'[22:22:41.608]',-,-,-,-,-,-,-,-"
"'[22:22:41.616]',-,-,-,-,-,-,-,-"
"'[22:22:41.624]',-,-,-,-,-,-,-,-"
"'[22:22:41.632]',-,-,-,-,-,-,-,-"
"'[22:22:41.640]',-,-,-,-,-,-,-,-"
"'[22:22:41.648]',-,-,-,-,-,-,-,-"
"'[22:22:41.656]',-,-,-,-,-,-,-,-"
"'[22:22:41.664]',-,-,-,-,-,-,-,-"
"'[22:22:41.672]',-,-,-,-,-,-,-,-"
"'[22:22:41.680]',-,-,-,-,-,-,-,-"
"'[22:22:41.688]',-,-,-,-,-,-,-,-"
"'[22:22:41.696]',-,-,-,-,-,-,-,-"
"'[22:22:41.704]',-,-,-,-,-,-,-,-"
"'[22:22:41.712]',-,-,-,-,-,-,-,-"
"'[22:22:41.720]',-,-,-,-,-,-,-,-"
"'[22:22:41.728]',-,-,-,-,-,-,-,-"
"'[22:22:41.736]',-,-,-,-,-,-,-,-"
"'[22:22:41.744]',-,-,-,-,-,-,-,-"
"'[22:22:41.752]',-,-,-,-,-,-,-,-"
