'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg'
'[15:30:59.176]',-0.211,-,0.851,0.905,0.268,1.735,101.244,10.749
'[15:30:59.184]',-0.225,-,0.860,0.895,0.271,1.735,101.869,11.060
'[15:30:59.192]',-0.220,-,0.855,0.915,0.275,1.735,102.690,11.371
'[15:30:59.200]',-0.220,-,0.855,0.910,0.279,1.733,103.862,11.683
'[15:30:59.208]',-0.211,-,0.845,0.920,0.283,1.729,105.229,11.937
'[15:30:59.216]',-0.211,-,0.845,0.915,0.288,1.724,106.167,12.184
'[15:30:59.224]',-0.200,-,0.840,0.925,0.293,1.719,106.441,12.432
'[15:30:59.232]',-0.200,-,0.845,0.920,0.299,1.717,106.050,12.622
'[15:30:59.240]',-0.186,-,0.831,0.930,0.305,1.717,105.308,12.870
'[15:30:59.248]',-0.191,-,0.835,0.925,0.312,1.716,104.292,13.124
'[15:30:59.256]',-0.175,-,0.825,0.935,0.318,1.717,103.041,13.308
'[15:30:59.264]',-0.180,-,0.825,0.930,0.325,1.723,101.439,13.435
'[15:30:59.272]',-0.171,-,0.820,0.935,0.332,1.735,99.368,13.619
'[15:30:59.280]',-0.171,-,0.825,0.925,0.338,1.749,97.297,13.746
'[15:30:59.288]',-0.160,-,0.815,0.930,0.344,1.767,95.304,13.873
'[15:30:59.296]',-0.166,-,0.825,0.920,0.351,1.795,93.312,13.937
'[15:30:59.304]',-0.160,-,0.815,0.925,0.358,1.833,91.358,14.000
'[15:30:59.312]',-0.166,-,0.820,0.920,0.366,1.879,89.560,14.057
'[15:30:59.320]',-0.160,-,0.825,0.915,0.374,1.931,88.232,14.000
'[15:30:59.328]',-0.166,-,0.815,0.920,0.382,1.987,87.724,13.810
'[15:30:59.336]',-0.166,-,0.825,0.915,0.390,2.041,87.880,13.562
'[15:30:59.344]',-0.160,-,0.815,0.920,0.397,2.091,88.349,13.435
'[15:30:59.352]',-0.160,-,0.820,0.915,0.404,2.139,89.052,13.371
'[15:30:59.360]',-0.155,-,0.815,0.915,0.411,2.183,89.912,13.244
'[15:30:59.368]',-0.155,-,0.811,0.910,0.418,2.219,90.928,13.124
'[15:30:59.376]',-0.146,-,0.805,0.915,0.425,2.244,91.944,12.997
'[15:30:59.384]',-0.146,-,0.815,0.915,0.432,2.263,92.686,12.870
'[15:30:59.392]',-0.140,-,0.805,0.915,0.439,2.279,92.999,12.806
'[15:30:59.400]',-0.151,-,0.811,0.910,0.446,2.286,92.999,12.622
'[15:30:59.408]',-0.140,-,0.800,0.915,0.454,2.285,92.725,12.495
'[15:30:59.416]',-0.146,-,0.805,0.905,0.462,2.277,92.413,12.375
'[15:30:59.424]',-0.130,-,0.800,0.915,0.469,2.260,91.983,12.375
'[15:30:59.432]',-0.140,-,0.800,0.910,0.476,2.239,91.475,12.375
'[15:30:59.440]',-0.115,-,0.791,0.920,0.483,2.215,91.006,12.432
'[15:30:59.448]',-0.115,-,0.795,0.925,0.488,2.190,90.693,12.559
'[15:30:59.456]',-0.095,-,0.775,0.940,0.494,2.165,90.420,12.749
'[15:30:59.464]',-0.090,-,0.775,0.940,0.499,2.145,90.107,12.870
'[15:30:59.472]',-0.070,-,0.760,0.956,0.505,2.130,89.678,12.933
'[15:30:59.480]',-0.055,-,0.755,0.960,0.511,2.120,89.130,12.933
'[15:30:59.488]',-0.065,-,0.766,0.930,0.517,2.112,88.544,13.124
'[15:30:59.496]',-0.070,-,0.760,0.915,0.523,2.106,87.997,13.371
'[15:30:59.504]',-0.070,-,0.766,0.920,0.528,2.099,87.255,13.562
'[15:30:59.512]',-0.061,-,0.760,0.930,0.534,2.094,86.044,13.683
'[15:30:59.520]',-0.086,-,0.771,0.920,0.539,2.090,84.168,13.810
'[15:30:59.528]',-0.100,-,0.780,0.925,0.545,2.085,81.745,14.057
'[15:30:59.536]',-0.106,-,0.791,0.915,0.550,2.080,79.791,14.375
'[15:30:59.544]',-0.100,-,0.786,0.905,0.556,2.075,79.752,14.622
'[15:30:59.552]',-0.115,-,0.791,0.900,0.562,2.066,82.175,14.749
'[15:30:59.560]',-0.095,-,0.780,0.910,0.568,2.054,85.809,14.749
'[15:30:59.568]',-0.106,-,0.786,0.900,0.574,2.038,88.115,14.933
'[15:30:59.576]',-0.090,-,0.780,0.910,0.580,2.023,87.685,15.244
'[15:30:59.584]',-0.100,-,0.780,0.900,0.586,2.008,85.614,15.498
'[15:30:59.592]',-0.095,-,0.775,0.980,0.592,1.988,84.168,15.498
'[15:30:59.600]',-0.126,-,0.771,1.175,0.598,1.969,84.285,15.244
'[15:30:59.608]',-0.045,-,0.695,1.431,0.603,1.952,84.910,14.933
'[15:30:59.616]',0.225,-,0.530,1.461,0.609,1.937,85.184,14.749
'[15:30:59.624]',0.675,-,0.340,0.600,0.614,1.925,84.793,14.686
'[15:30:59.632]',1.025,-,0.209,-0.090,0.620,1.912,84.012,14.622
'[15:30:59.640]',0.715,-,0.385,-0.251,0.625,1.900,82.253,14.622
'[15:30:59.648]',-0.005,-,0.750,0.040,0.631,1.891,79.674,14.622
'[15:30:59.656]',-0.095,-,0.775,0.465,0.636,1.885,76.978,14.495
'[15:30:59.664]',-0.021,-,0.720,0.755,0.641,1.878,75.102,14.432
'[15:30:59.672]',0.035,-,0.695,0.915,0.645,1.875,74.360,14.432
'[15:30:59.680]',-0.005,-,0.725,0.940,0.650,1.873,74.751,14.432
'[15:30:59.688]',-0.045,-,0.745,0.965,0.654,1.872,75.923,14.495
'[15:30:59.696]',-0.075,-,0.760,0.980,0.658,1.872,77.486,14.495
'[15:30:59.704]',-0.086,-,0.766,0.996,0.662,1.872,79.010,14.432
'[15:30:59.712]',-0.090,-,0.771,1.010,0.666,1.872,79.987,14.432
'[15:30:59.720]',-0.090,-,0.775,1.021,0.669,1.872,80.495,14.495
'[15:30:59.728]',-0.086,-,0.766,1.025,0.672,1.872,80.690,14.686
'[15:30:59.736]',-0.090,-,0.775,1.021,0.674,1.872,80.182,14.806
'[15:30:59.744]',-0.081,-,0.771,1.035,0.676,1.872,78.932,14.749
'[15:30:59.752]',-0.075,-,0.766,1.030,0.677,1.872,76.978,14.622
'[15:30:59.760]',-0.070,-,0.760,1.035,0.678,1.872,75.102,14.432
'[15:30:59.768]',-0.065,-,0.755,1.035,0.679,1.870,73.813,14.248
'[15:30:59.776]',-0.050,-,0.745,1.045,0.679,1.866,73.188,14.184
'[15:30:59.784]',-0.050,-,0.745,1.041,0.678,1.863,73.071,14.121
'[15:30:59.792]',-0.035,-,0.735,1.050,0.677,1.858,73.227,14.248
'[15:30:59.800]',-0.041,-,0.735,1.045,0.674,1.852,73.539,14.311
'[15:30:59.808]',-0.015,-,0.725,1.055,0.671,1.845,73.813,14.311
'[15:30:59.816]',-0.015,-,0.730,1.050,0.667,1.835,74.165,14.184
'[15:30:59.824]',0.004,-,0.715,1.061,0.664,1.824,74.751,13.937
'[15:30:59.832]',0.004,-,0.720,1.055,0.660,1.814,75.376,13.562
'[15:30:59.840]',0.024,-,0.705,1.075,0.656,1.805,75.493,13.187
'[15:30:59.848]',0.030,-,0.705,1.070,0.650,1.797,74.634,12.806
'[15:30:59.856]',0.050,-,0.685,1.081,0.645,1.790,73.110,12.622
'[15:30:59.864]',0.060,-,0.680,1.081,0.639,1.782,71.820,12.432
'[15:30:59.872]',0.080,-,0.665,1.095,0.634,1.773,71.508,12.432
'[15:30:59.880]',0.095,-,0.660,1.101,0.627,1.768,72.484,12.311
'[15:30:59.888]',0.120,-,0.645,1.110,0.620,1.764,74.321,12.057
'[15:30:59.896]',0.140,-,0.635,1.120,0.612,1.760,76.822,11.619
'[15:30:59.904]',0.160,-,0.615,1.126,0.605,1.755,80.299,11.187
'[15:30:59.912]',0.185,-,0.610,1.126,0.598,1.749,85.106,10.749
'[15:30:59.920]',0.210,-,0.590,1.130,0.591,1.743,91.006,10.375
'[15:30:59.928]',0.235,-,0.570,1.140,0.585,1.737,97.180,10.184
'[15:30:59.936]',0.265,-,0.550,1.130,0.580,1.731,102.807,10.248
'[15:30:59.944]',0.290,-,0.540,1.126,0.574,1.727,107.613,10.432
'[15:30:59.952]',0.315,-,0.520,1.110,0.568,1.723,111.481,10.622
'[15:30:59.960]',0.340,-,0.510,1.095,0.563,1.720,114.451,10.622
'[15:30:59.968]',0.365,-,0.500,1.065,0.557,1.719,116.249,10.311
'[15:30:59.976]',0.390,-,0.480,1.035,0.552,1.719,116.796,9.937
'[15:30:59.984]',0.395,-,0.480,1.005,0.547,1.721,116.170,9.683
'[15:30:59.992]',0.400,-,0.475,0.970,0.542,1.722,114.568,9.498
'[15:31:00.000]',0.355,-,0.505,0.935,0.538,1.724,112.380,9.371
'[15:31:00.008]',0.315,-,0.530,0.920,0.532,1.726,109.879,9.371
'[15:31:00.016]',0.235,-,0.580,0.910,0.527,1.727,107.496,9.435
'[15:31:00.024]',0.160,-,0.625,0.905,0.521,1.729,105.425,9.562
'[15:31:00.032]',0.065,-,0.685,0.891,0.515,1.733,103.823,9.619
'[15:31:00.040]',-0.010,-,0.735,0.891,0.507,1.735,102.494,9.683
'[15:31:00.048]',-0.086,-,0.780,0.891,0.501,1.735,101.635,9.683
'[15:31:00.056]',-0.130,-,0.805,0.891,0.493,1.735,101.361,9.683
'[15:31:00.064]',-0.175,-,0.835,0.885,0.485,1.733,101.635,9.619
'[15:31:00.072]',-0.196,-,0.845,0.891,0.479,1.729,102.260,9.683
'[15:31:00.080]',-0.225,-,0.860,0.895,0.472,1.726,102.924,9.873
'[15:31:00.088]',-0.225,-,0.871,0.900,0.466,1.723,103.745,10.057
'[15:31:00.096]',-0.236,-,0.865,0.905,0.461,1.720,104.565,10.311
'[15:31:00.104]',-0.231,-,0.871,0.900,0.454,1.719,105.425,10.495
'[15:31:00.112]',-0.225,-,0.865,0.910,0.448,1.718,106.245,10.686
'[15:31:00.120]',-0.231,-,0.860,0.905,0.441,1.717,106.871,10.806
'[15:31:00.128]',-0.216,-,0.855,0.915,0.435,1.713,107.066,10.933
'[15:31:00.136]',-0.220,-,0.860,0.915,0.429,1.708,106.792,11.060
'[15:31:00.144]',-0.205,-,0.845,0.920,0.423,1.703,106.245,11.371
'[15:31:00.152]',-0.196,-,0.845,0.920,0.417,1.697,105.503,11.810
'[15:31:00.160]',-0.186,-,0.840,0.925,0.411,1.694,104.487,12.559
'[15:31:00.168]',-0.191,-,0.840,0.920,0.405,1.696,103.237,13.371
'[15:31:00.176]',-0.115,-,0.800,0.900,0.559,2.043,84.559,10.375
'[15:31:00.184]',-0.106,-,0.795,0.905,0.552,2.022,83.855,10.248
'[15:31:00.192]',-0.115,-,0.795,0.900,0.544,2.001,83.191,10.806
'[15:31:00.200]',-0.100,-,0.791,0.910,0.537,1.980,82.566,11.619
'[15:31:00.208]',-0.110,-,0.795,0.925,0.531,1.964,82.253,12.375
'[15:31:00.216]',-0.126,-,0.780,1.101,0.525,1.950,82.058,12.749
'[15:31:00.224]',-0.135,-,0.755,1.326,0.519,1.935,81.941,12.749
'[15:31:00.232]',0.075,-,0.620,1.466,0.513,1.923,81.745,12.495
'[15:31:00.240]',0.485,-,0.415,0.965,0.507,1.910,81.511,12.248
'[15:31:00.248]',0.910,-,0.260,0.200,0.502,1.899,81.120,12.184
'[15:31:00.256]',1.065,-,0.205,-0.265,0.496,1.892,80.573,12.248
'[15:31:00.264]',0.215,-,0.655,-0.126,0.491,1.890,79.948,12.432
'[15:31:00.272]',-0.100,-,0.786,0.270,0.485,1.888,79.479,12.622
'[15:31:00.280]',-0.115,-,0.791,0.640,0.480,1.887,79.244,12.806
'[15:31:00.288]',0.010,-,0.710,0.850,0.474,1.887,79.166,12.870
'[15:31:00.296]',-0.000,-,0.725,0.935,0.470,1.887,79.049,12.870
'[15:31:00.304]',-0.050,-,0.755,0.960,0.465,1.887,79.049,12.749
'[15:31:00.312]',-0.075,-,0.771,0.980,0.462,1.887,79.127,12.686
'[15:31:00.320]',-0.090,-,0.775,0.996,0.458,1.884,79.127,12.622
'[15:31:00.328]',-0.106,-,0.786,1.005,0.455,1.879,79.010,12.495
'[15:31:00.336]',-0.100,-,0.780,1.015,0.452,1.874,78.736,12.432
'[15:31:00.344]',-0.106,-,0.791,1.021,0.449,1.865,78.502,12.432
'[15:31:00.352]',-0.095,-,0.780,1.030,0.446,1.856,78.307,12.749
'[15:31:00.360]',-0.100,-,0.780,1.030,0.442,1.848,78.189,13.371
'[15:31:00.368]',-0.086,-,0.775,1.035,0.439,1.838,77.877,13.810
'[15:31:00.376]',-0.090,-,0.780,1.035,0.436,1.827,77.447,13.619
'[15:31:00.384]',-0.070,-,0.771,1.035,0.433,1.819,76.861,12.622
'[15:31:00.392]',-0.070,-,0.771,1.035,0.430,1.813,76.197,11.562
'[15:31:00.400]',-0.061,-,0.755,1.041,0.428,1.810,75.571,10.933
'[15:31:00.408]',-0.055,-,0.755,1.041,0.425,1.810,75.102,10.997
'[15:31:00.416]',-0.045,-,0.745,1.045,0.422,1.810,74.751,11.498
'[15:31:00.424]',-0.041,-,0.745,1.045,0.419,1.809,74.360,12.311
'[15:31:00.432]',-0.021,-,0.730,1.055,0.416,1.807,74.047,13.244
