'Time','PLETH','II','ABP'
'hh:mm:ss.mmm','NU','mV','mmHg'
'[13:42:24.000]',0.447,0.586,50.000
'[13:42:24.008]',0.443,0.594,50.000
'[13:42:24.016]',0.439,0.602,50.000
'[13:42:24.024]',0.435,0.617,49.219
'[13:42:24.032]',0.435,0.633,49.219
'[13:42:24.040]',0.431,0.648,49.219
'[13:42:24.048]',0.431,0.672,50.000
'[13:42:24.056]',0.431,0.695,51.562
'[13:42:24.064]',0.427,0.719,55.469
'[13:42:24.072]',0.427,0.750,61.719
'[13:42:24.080]',0.427,0.773,70.312
'[13:42:24.088]',0.424,0.797,81.250
'[13:42:24.096]',0.424,0.812,92.188
'[13:42:24.104]',0.420,0.828,102.344
'[13:42:24.112]',0.416,0.836,111.719
'[13:42:24.120]',0.416,0.828,118.750
'[13:42:24.128]',0.412,0.805,124.219
'[13:42:24.136]',0.412,0.766,127.344
'[13:42:24.144]',0.408,0.719,127.344
'[13:42:24.152]',0.404,0.672,126.562
'[13:42:24.160]',0.404,0.625,125.000
'[13:42:24.168]',0.400,0.586,121.875
'[13:42:24.176]',0.400,0.547,118.750
'[13:42:24.184]',0.400,0.531,115.625
'[13:42:24.192]',0.396,0.516,112.500
'[13:42:24.200]',0.396,0.500,108.594
'[13:42:24.208]',0.392,0.500,105.469
'[13:42:24.216]',0.392,0.492,102.344
'[13:42:24.224]',0.388,0.492,99.219
'[13:42:24.232]',0.388,0.492,96.094
'[13:42:24.240]',0.384,0.492,92.969
'[13:42:24.248]',0.384,0.492,90.625
'[13:42:24.256]',0.384,0.492,88.281
'[13:42:24.264]',0.380,0.492,85.156
'[13:42:24.272]',0.380,0.492,82.812
'[13:42:24.280]',0.380,0.492,80.469
'[13:42:24.288]',0.376,0.492,78.125
'[13:42:24.296]',0.376,0.492,75.781
'[13:42:24.304]',0.376,0.500,73.438
'[13:42:24.312]',0.376,0.500,71.094
'[13:42:24.320]',0.376,0.500,68.750
'[13:42:24.328]',0.380,0.500,67.188
'[13:42:24.336]',0.388,0.500,65.625
'[13:42:24.344]',0.400,0.500,64.844
'[13:42:24.352]',0.420,0.500,64.844
'[13:42:24.360]',0.439,0.500,64.844
'[13:42:24.368]',0.463,0.500,64.844
'[13:42:24.376]',0.482,0.500,65.625
'[13:42:24.384]',0.506,0.508,66.406
'[13:42:24.392]',0.529,0.516,67.188
'[13:42:24.400]',0.549,0.531,67.188
'[13:42:24.408]',0.569,0.547,67.969
'[13:42:24.416]',0.584,0.570,67.969
'[13:42:24.424]',0.600,0.586,67.969
'[13:42:24.432]',0.608,0.586,67.969
'[13:42:24.440]',0.616,0.578,67.188
'[13:42:24.448]',0.616,0.570,67.188
'[13:42:24.456]',0.620,0.547,66.406
'[13:42:24.464]',0.620,0.523,65.625
'[13:42:24.472]',0.620,0.500,64.844
'[13:42:24.480]',0.616,0.492,64.062
'[13:42:24.488]',0.616,0.484,63.281
'[13:42:24.496]',0.612,0.484,62.500
'[13:42:24.504]',0.608,0.484,61.719
'[13:42:24.512]',0.604,0.492,60.938
'[13:42:24.520]',0.596,0.492,60.156
'[13:42:24.528]',0.592,0.492,59.375
'[13:42:24.536]',0.580,0.461,58.594
'[13:42:24.544]',0.573,0.406,57.812
'[13:42:24.552]',0.561,0.477,57.031
'[13:42:24.560]',0.553,0.703,56.250
'[13:42:24.568]',0.545,0.945,55.469
'[13:42:24.576]',0.537,1.023,55.469
'[13:42:24.584]',0.529,0.922,54.688
'[13:42:24.592]',0.522,0.750,53.906
'[13:42:24.600]',0.514,0.617,53.906
'[13:42:24.608]',0.506,0.547,53.125
'[13:42:24.616]',0.502,0.516,53.125
'[13:42:24.624]',0.494,0.500,53.125
'[13:42:24.632]',0.490,0.492,53.125
'[13:42:24.640]',0.486,0.492,53.125
'[13:42:24.648]',0.482,0.492,53.125
'[13:42:24.656]',0.478,0.492,53.125
'[13:42:24.664]',0.475,0.500,53.125
'[13:42:24.672]',0.471,0.500,53.125
'[13:42:24.680]',0.471,0.516,52.344
'[13:42:24.688]',0.467,0.516,52.344
'[13:42:24.696]',0.467,0.523,52.344
'[13:42:24.704]',0.467,0.531,52.344
'[13:42:24.712]',0.467,0.539,51.562
'[13:42:24.720]',0.463,0.547,51.562
'[13:42:24.728]',0.463,0.562,50.781
'[13:42:24.736]',0.459,0.562,50.781
'[13:42:24.744]',0.455,0.570,50.000
'[13:42:24.752]',0.451,0.586,50.000
'[13:42:24.760]',0.447,0.594,50.000
'[13:42:24.768]',0.443,0.609,50.000
'[13:42:24.776]',0.439,0.625,49.219
'[13:42:24.784]',0.439,0.641,49.219
'[13:42:24.792]',0.435,0.656,50.000
'[13:42:24.800]',0.431,0.680,50.781
'[13:42:24.808]',0.431,0.703,53.906
'[13:42:24.816]',0.427,0.727,59.375
'[13:42:24.824]',0.427,0.750,67.969
'[13:42:24.832]',0.424,0.773,78.125
'[13:42:24.840]',0.420,0.789,89.062
'[13:42:24.848]',0.416,0.805,100.000
'[13:42:24.856]',0.416,0.812,110.156
'[13:42:24.864]',0.412,0.805,117.969
'[13:42:24.872]',0.408,0.797,124.219
'[13:42:24.880]',0.408,0.766,127.344
'[13:42:24.888]',0.404,0.734,128.906
'[13:42:24.896]',0.404,0.688,128.906
'[13:42:24.904]',0.400,0.641,127.344
'[13:42:24.912]',0.400,0.594,125.000
'[13:42:24.920]',0.396,0.562,121.875
'[13:42:24.928]',0.396,0.523,118.750
'[13:42:24.936]',0.392,0.500,114.844
'[13:42:24.944]',0.392,0.492,111.719
'[13:42:24.952]',0.392,0.492,108.594
'[13:42:24.960]',0.388,0.492,105.469
'[13:42:24.968]',0.388,0.484,102.344
'[13:42:24.976]',0.388,0.484,99.219
'[13:42:24.984]',0.388,0.484,96.875
'[13:42:24.992]',0.384,0.484,93.750
'[13:42:25.000]',0.384,0.484,91.406
'[13:42:25.008]',0.380,0.484,89.062
'[13:42:25.016]',0.380,0.484,86.719
'[13:42:25.024]',0.376,0.484,84.375
'[13:42:25.032]',0.376,0.492,81.250
'[13:42:25.040]',0.376,0.492,78.906
'[13:42:25.048]',0.376,0.492,76.562
'[13:42:25.056]',0.376,0.492,74.219
'[13:42:25.064]',0.376,0.492,71.875
'[13:42:25.072]',0.376,0.492,70.312
'[13:42:25.080]',0.380,0.492,68.750
'[13:42:25.088]',0.388,0.492,67.969
'[13:42:25.096]',0.404,0.500,67.188
'[13:42:25.104]',0.424,0.500,67.188
'[13:42:25.112]',0.447,0.500,67.188
'[13:42:25.120]',0.475,0.500,67.969
'[13:42:25.128]',0.502,0.500,68.750
'[13:42:25.136]',0.529,0.516,68.750
'[13:42:25.144]',0.553,0.531,69.531
'[13:42:25.152]',0.573,0.539,69.531
'[13:42:25.160]',0.592,0.562,70.312
'[13:42:25.168]',0.604,0.578,70.312
'[13:42:25.176]',0.616,0.586,69.531
'[13:42:25.184]',0.624,0.570,69.531
'[13:42:25.192]',0.627,0.570,68.750
'[13:42:25.200]',0.631,0.547,68.750
'[13:42:25.208]',0.631,0.516,67.969
'[13:42:25.216]',0.631,0.492,67.188
'[13:42:25.224]',0.627,0.484,66.406
'[13:42:25.232]',0.624,0.477,65.625
'[13:42:25.240]',0.620,0.477,64.844
'[13:42:25.248]',0.616,0.477,64.062
'[13:42:25.256]',0.612,0.477,63.281
'[13:42:25.264]',0.608,0.477,62.500
'[13:42:25.272]',0.604,0.477,61.719
'[13:42:25.280]',0.600,0.445,60.938
'[13:42:25.288]',0.592,0.391,60.156
'[13:42:25.296]',0.584,0.453,59.375
'[13:42:25.304]',0.576,0.695,58.594
'[13:42:25.312]',0.565,0.969,57.812
'[13:42:25.320]',0.557,1.086,57.812
'[13:42:25.328]',0.545,0.977,57.031
'[13:42:25.336]',0.537,0.781,56.250
'[13:42:25.344]',0.525,0.625,56.250
'[13:42:25.352]',0.518,0.547,56.250
'[13:42:25.360]',0.510,0.508,55.469
'[13:42:25.368]',0.506,0.492,55.469
'[13:42:25.376]',0.502,0.484,55.469
'[13:42:25.384]',0.498,0.484,55.469
'[13:42:25.392]',0.494,0.484,54.688
'[13:42:25.400]',0.494,0.492,54.688
'[13:42:25.408]',0.490,0.492,54.688
'[13:42:25.416]',0.486,0.500,54.688
'[13:42:25.424]',0.486,0.508,54.688
'[13:42:25.432]',0.486,0.516,54.688
'[13:42:25.440]',0.486,0.516,54.688
'[13:42:25.448]',0.482,0.531,54.688
'[13:42:25.456]',0.482,0.531,53.906
'[13:42:25.464]',0.478,0.539,53.906
'[13:42:25.472]',0.475,0.547,53.125
'[13:42:25.480]',0.471,0.555,53.125
'[13:42:25.488]',0.471,0.562,53.125
'[13:42:25.496]',0.467,0.570,52.344
'[13:42:25.504]',0.463,0.586,52.344
'[13:42:25.512]',0.459,0.602,52.344
'[13:42:25.520]',0.455,0.625,51.562
'[13:42:25.528]',0.451,0.641,51.562
'[13:42:25.536]',0.447,0.656,52.344
'[13:42:25.544]',0.443,0.688,53.906
'[13:42:25.552]',0.439,0.711,57.031
'[13:42:25.560]',0.435,0.742,63.281
'[13:42:25.568]',0.435,0.766,72.656
'[13:42:25.576]',0.431,0.789,83.594
'[13:42:25.584]',0.431,0.805,95.312
'[13:42:25.592]',0.431,0.820,107.031
'[13:42:25.600]',0.427,0.820,117.188
'[13:42:25.608]',0.427,0.828,125.781
'[13:42:25.616]',0.424,0.805,131.250
'[13:42:25.624]',0.424,0.781,134.375
'[13:42:25.632]',0.420,0.742,134.375
'[13:42:25.640]',0.416,0.695,133.594
'[13:42:25.648]',0.416,0.641,131.250
'[13:42:25.656]',0.412,0.602,128.125
'[13:42:25.664]',0.412,0.570,125.000
'[13:42:25.672]',0.412,0.539,121.094
'[13:42:25.680]',0.408,0.516,117.969
'[13:42:25.688]',0.408,0.508,114.844
'[13:42:25.696]',0.408,0.500,110.938
'[13:42:25.704]',0.408,0.492,108.594
'[13:42:25.712]',0.408,0.492,105.469
'[13:42:25.720]',0.408,0.500,103.125
'[13:42:25.728]',0.408,0.500,100.781
'[13:42:25.736]',0.404,0.500,98.438
'[13:42:25.744]',0.404,0.500,96.094
'[13:42:25.752]',0.404,0.500,93.750
'[13:42:25.760]',0.400,0.500,91.406
'[13:42:25.768]',0.400,0.500,89.062
'[13:42:25.776]',0.400,0.500,85.938
'[13:42:25.784]',0.396,0.500,83.594
'[13:42:25.792]',0.396,0.500,81.250
'[13:42:25.800]',0.396,0.500,78.906
'[13:42:25.808]',0.396,0.500,75.781
'[13:42:25.816]',0.400,0.500,73.438
'[13:42:25.824]',0.408,0.500,71.875
'[13:42:25.832]',0.420,0.500,70.312
'[13:42:25.840]',0.435,0.508,69.531
'[13:42:25.848]',0.455,0.508,68.750
'[13:42:25.856]',0.482,0.508,68.750
'[13:42:25.864]',0.506,0.508,68.750
'[13:42:25.872]',0.525,0.516,68.750
'[13:42:25.880]',0.553,0.516,69.531
'[13:42:25.888]',0.576,0.531,69.531
'[13:42:25.896]',0.596,0.547,70.312
'[13:42:25.904]',0.616,0.562,70.312
'[13:42:25.912]',0.631,0.586,70.312
'[13:42:25.920]',0.643,0.602,70.312
'[13:42:25.928]',0.651,0.609,69.531
'[13:42:25.936]',0.655,0.594,69.531
'[13:42:25.944]',0.659,0.586,68.750
'[13:42:25.952]',0.663,0.570,67.969
'[13:42:25.960]',0.663,0.539,67.188
'[13:42:25.968]',0.663,0.508,66.406
'[13:42:25.976]',0.659,0.500,65.625
'[13:42:25.984]',0.655,0.492,64.844
'[13:42:25.992]',0.651,0.492,64.062
'[13:42:26.000]',0.643,0.492,63.281
'[13:42:26.008]',0.639,0.492,62.500
'[13:42:26.016]',0.631,0.492,61.719
'[13:42:26.024]',0.627,0.492,60.938
'[13:42:26.032]',0.620,0.461,60.156
'[13:42:26.040]',0.612,0.414,59.375
'[13:42:26.048]',0.604,0.461,58.594
'[13:42:26.056]',0.596,0.664,57.812
'[13:42:26.064]',0.588,0.922,57.812
'[13:42:26.072]',0.576,1.031,57.031
'[13:42:26.080]',0.569,0.953,56.250
'[13:42:26.088]',0.561,0.781,56.250
'[13:42:26.096]',0.553,0.641,55.469
'[13:42:26.104]',0.545,0.562,54.688
'[13:42:26.112]',0.537,0.516,54.688
'[13:42:26.120]',0.533,0.500,54.688
'[13:42:26.128]',0.525,0.500,53.906
'[13:42:26.136]',0.522,0.500,53.906
'[13:42:26.144]',0.514,0.500,53.906
'[13:42:26.152]',0.510,0.500,53.906
'[13:42:26.160]',0.502,0.500,53.906
'[13:42:26.168]',0.498,0.508,53.906
'[13:42:26.176]',0.498,0.516,53.906
'[13:42:26.184]',0.494,0.523,53.906
'[13:42:26.192]',0.490,0.531,53.125
'[13:42:26.200]',0.486,0.539,53.125
'[13:42:26.208]',0.482,0.547,53.125
'[13:42:26.216]',0.482,0.547,52.344
'[13:42:26.224]',0.478,0.562,52.344
'[13:42:26.232]',0.475,0.570,51.562
'[13:42:26.240]',0.471,0.586,51.562
'[13:42:26.248]',0.467,0.586,50.781
'[13:42:26.256]',0.467,0.602,50.781
'[13:42:26.264]',0.463,0.617,50.781
'[13:42:26.272]',0.459,0.625,50.000
'[13:42:26.280]',0.455,0.641,50.000
'[13:42:26.288]',0.451,0.656,50.000
'[13:42:26.296]',0.447,0.688,50.781
'[13:42:26.304]',0.443,0.711,52.344
'[13:42:26.312]',0.439,0.742,56.250
'[13:42:26.320]',0.439,0.766,61.719
'[13:42:26.328]',0.435,0.789,70.312
'[13:42:26.336]',0.435,0.805,80.469
'[13:42:26.344]',0.431,0.828,91.406
'[13:42:26.352]',0.431,0.836,101.562
'[13:42:26.360]',0.427,0.836,110.156
'[13:42:26.368]',0.427,0.820,117.188
'[13:42:26.376]',0.424,0.797,121.875
'[13:42:26.384]',0.424,0.750,124.219
'[13:42:26.392]',0.420,0.703,125.000
'[13:42:26.400]',0.420,0.656,123.438
'[13:42:26.408]',0.416,0.609,121.094
'[13:42:26.416]',0.416,0.562,117.969
'[13:42:26.424]',0.412,0.539,114.844
'[13:42:26.432]',0.412,0.516,110.938
'[13:42:26.440]',0.408,0.508,107.031
'[13:42:26.448]',0.408,0.500,103.125
'[13:42:26.456]',0.404,0.492,100.000
'[13:42:26.464]',0.404,0.492,96.094
'[13:42:26.472]',0.404,0.492,92.969
'[13:42:26.480]',0.400,0.492,89.844
'[13:42:26.488]',0.400,0.492,86.719
'[13:42:26.496]',0.400,0.492,83.594
'[13:42:26.504]',0.400,0.492,80.469
'[13:42:26.512]',0.400,0.492,78.125
'[13:42:26.520]',0.400,0.492,75.781
'[13:42:26.528]',0.396,0.492,73.438
'[13:42:26.536]',0.396,0.492,71.094
'[13:42:26.544]',0.392,0.492,68.750
'[13:42:26.552]',0.392,0.492,66.406
'[13:42:26.560]',0.392,0.492,64.062
'[13:42:26.568]',0.392,0.500,62.500
'[13:42:26.576]',0.396,0.500,61.719
'[13:42:26.584]',0.404,0.500,60.938
'[13:42:26.592]',0.412,0.500,60.938
'[13:42:26.600]',0.424,0.500,61.719
'[13:42:26.608]',0.443,0.500,62.500
'[13:42:26.616]',0.463,0.500,63.281
'[13:42:26.624]',0.486,0.508,64.062
'[13:42:26.632]',0.514,0.508,64.844
'[13:42:26.640]',0.537,0.516,65.625
'[13:42:26.648]',0.561,0.539,66.406
'[13:42:26.656]',0.580,0.547,66.406
'[13:42:26.664]',0.596,0.570,66.406
'[13:42:26.672]',0.608,0.586,66.406
'[13:42:26.680]',0.616,0.602,66.406
'[13:42:26.688]',0.624,0.594,65.625
'[13:42:26.696]',0.627,0.586,64.844
'[13:42:26.704]',0.627,0.570,64.062
'[13:42:26.712]',0.627,0.547,64.062
'[13:42:26.720]',0.624,0.516,62.500
'[13:42:26.728]',0.620,0.500,61.719
'[13:42:26.736]',0.616,0.492,60.938
'[13:42:26.744]',0.612,0.492,60.156
'[13:42:26.752]',0.604,0.492,59.375
'[13:42:26.760]',0.600,0.492,58.594
'[13:42:26.768]',0.592,0.492,57.812
'[13:42:26.776]',0.584,0.492,57.031
'[13:42:26.784]',0.576,0.477,56.250
'[13:42:26.792]',0.569,0.430,55.469
'[13:42:26.800]',0.561,0.422,54.688
'[13:42:26.808]',0.549,0.633,54.688
'[13:42:26.816]',0.541,0.867,53.906
'[13:42:26.824]',0.529,1.000,53.125
'[13:42:26.832]',0.522,0.945,53.125
'[13:42:26.840]',0.514,0.797,52.344
'[13:42:26.848]',0.506,0.656,52.344
'[13:42:26.856]',0.498,0.562,51.562
'[13:42:26.864]',0.494,0.516,51.562
'[13:42:26.872]',0.490,0.500,51.562
'[13:42:26.880]',0.486,0.492,51.562
'[13:42:26.888]',0.482,0.492,51.562
'[13:42:26.896]',0.482,0.492,51.562
'[13:42:26.904]',0.478,0.500,51.562
'[13:42:26.912]',0.478,0.500,51.562
'[13:42:26.920]',0.478,0.500,51.562
'[13:42:26.928]',0.478,0.508,51.562
'[13:42:26.936]',0.478,0.516,51.562
'[13:42:26.944]',0.475,0.531,51.562
'[13:42:26.952]',0.471,0.539,50.781
'[13:42:26.960]',0.471,0.547,50.781
'[13:42:26.968]',0.467,0.555,50.781
'[13:42:26.976]',0.463,0.562,50.000
'[13:42:26.984]',0.463,0.570,50.000
'[13:42:26.992]',0.459,0.578,49.219
'[13:42:27.000]',0.455,0.586,49.219
'[13:42:27.008]',0.451,0.602,48.438
'[13:42:27.016]',0.447,0.609,48.438
'[13:42:27.024]',0.443,0.625,48.438
'[13:42:27.032]',0.439,0.641,48.438
'[13:42:27.040]',0.439,0.656,48.438
'[13:42:27.048]',0.435,0.688,48.438
'[13:42:27.056]',0.435,0.711,50.000
'[13:42:27.064]',0.431,0.734,52.344
'[13:42:27.072]',0.431,0.766,57.031
'[13:42:27.080]',0.427,0.789,64.844
'[13:42:27.088]',0.427,0.812,74.219
'[13:42:27.096]',0.424,0.828,83.594
'[13:42:27.104]',0.424,0.836,93.750
'[13:42:27.112]',0.416,0.844,102.344
'[13:42:27.120]',0.416,0.828,110.156
'[13:42:27.128]',0.412,0.805,115.625
'[13:42:27.136]',0.408,0.766,118.750
'[13:42:27.144]',0.408,0.719,120.312
'[13:42:27.152]',0.404,0.664,119.531
'[13:42:27.160]',0.400,0.617,117.969
'[13:42:27.168]',0.400,0.578,114.844
'[13:42:27.176]',0.396,0.547,111.719
'[13:42:27.184]',0.396,0.523,108.594
'[13:42:27.192]',0.396,0.508,104.688
'[13:42:27.200]',0.392,0.500,100.781
'[13:42:27.208]',0.392,0.492,96.875
'[13:42:27.216]',0.392,0.492,93.750
'[13:42:27.224]',0.388,0.492,89.844
'[13:42:27.232]',0.388,0.484,86.719
'[13:42:27.240]',0.384,0.484,83.594
'[13:42:27.248]',0.384,0.484,80.469
'[13:42:27.256]',0.384,0.492,77.344
'[13:42:27.264]',0.384,0.492,75.000
'[13:42:27.272]',0.384,0.492,72.656
'[13:42:27.280]',0.384,0.492,70.312
'[13:42:27.288]',0.380,0.492,67.969
'[13:42:27.296]',0.380,0.492,65.625
'[13:42:27.304]',0.380,0.492,64.062
'[13:42:27.312]',0.376,0.492,62.500
'[13:42:27.320]',0.376,0.500,61.719
'[13:42:27.328]',0.376,0.500,60.938
'[13:42:27.336]',0.380,0.500,60.938
'[13:42:27.344]',0.388,0.500,60.938
'[13:42:27.352]',0.396,0.500,61.719
'[13:42:27.360]',0.412,0.500,62.500
'[13:42:27.368]',0.424,0.500,62.500
'[13:42:27.376]',0.443,0.500,63.281
'[13:42:27.384]',0.463,0.516,64.062
'[13:42:27.392]',0.486,0.523,64.844
'[13:42:27.400]',0.506,0.539,64.844
'[13:42:27.408]',0.525,0.547,65.625
'[13:42:27.416]',0.541,0.570,65.625
'[13:42:27.424]',0.553,0.586,65.625
'[13:42:27.432]',0.565,0.586,64.844
'[13:42:27.440]',0.573,0.578,64.844
'[13:42:27.448]',0.576,0.562,64.062
'[13:42:27.456]',0.580,0.547,63.281
'[13:42:27.464]',0.580,0.516,62.500
'[13:42:27.472]',0.580,0.492,61.719
'[13:42:27.480]',0.576,0.484,60.938
'[13:42:27.488]',0.573,0.484,60.156
'[13:42:27.496]',0.569,0.492,59.375
'[13:42:27.504]',0.561,0.492,58.594
