'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[10:17:23.000]',0.478,0.357,92.813
'[10:17:23.008]',0.478,0.349,92.240
'[10:17:23.016]',0.478,0.337,90.521
'[10:17:23.024]',0.478,0.325,88.229
'[10:17:23.032]',0.475,0.314,86.511
'[10:17:23.040]',0.475,0.302,84.219
'[10:17:23.048]',0.478,0.294,81.927
'[10:17:23.056]',0.494,0.286,79.636
'[10:17:23.064]',0.510,0.278,76.771
'[10:17:23.072]',0.486,0.271,74.479
'[10:17:23.080]',0.424,0.271,71.615
'[10:17:23.088]',0.349,0.275,69.323
'[10:17:23.096]',0.290,0.290,68.177
'[10:17:23.104]',0.235,0.314,66.459
'[10:17:23.112]',0.204,0.345,65.886
'[10:17:23.120]',0.200,0.388,64.740
'[10:17:23.128]',0.180,0.439,64.167
'[10:17:23.136]',0.169,0.482,63.021
'[10:17:23.144]',0.200,0.529,63.021
'[10:17:23.152]',0.271,0.576,63.021
'[10:17:23.160]',0.349,0.620,63.021
'[10:17:23.168]',0.443,0.663,63.021
'[10:17:23.176]',0.529,0.694,63.021
'[10:17:23.184]',0.576,0.722,63.021
'[10:17:23.192]',0.600,0.737,63.021
'[10:17:23.200]',0.616,0.749,63.021
'[10:17:23.208]',0.624,0.753,63.021
'[10:17:23.216]',0.635,0.753,63.021
'[10:17:23.224]',0.647,0.745,63.021
'[10:17:23.232]',0.651,0.733,63.021
'[10:17:23.240]',0.655,0.722,63.021
'[10:17:23.248]',0.659,0.706,63.021
'[10:17:23.256]',0.667,0.686,63.021
'[10:17:23.264]',0.671,0.663,63.021
'[10:17:23.272]',0.682,0.639,63.021
'[10:17:23.280]',0.686,0.612,63.021
'[10:17:23.288]',0.690,0.584,62.448
'[10:17:23.296]',0.702,0.557,62.448
'[10:17:23.304]',0.714,0.529,61.875
'[10:17:23.312]',0.722,0.506,61.875
'[10:17:23.320]',0.725,0.482,61.875
'[10:17:23.328]',0.722,0.467,61.875
'[10:17:23.336]',0.710,0.455,60.729
'[10:17:23.344]',0.694,0.447,60.729
'[10:17:23.352]',0.682,0.443,60.729
'[10:17:23.360]',0.659,0.443,60.156
'[10:17:23.368]',0.647,0.447,59.583
'[10:17:23.376]',0.620,0.451,58.438
'[10:17:23.384]',0.600,0.459,57.865
'[10:17:23.392]',0.580,0.471,57.865
'[10:17:23.400]',0.565,0.475,57.865
'[10:17:23.408]',0.557,0.482,58.438
'[10:17:23.416]',0.545,0.486,60.729
'[10:17:23.424]',0.541,0.486,64.167
'[10:17:23.432]',0.533,0.486,68.177
'[10:17:23.440]',0.533,0.482,72.761
'[10:17:23.448]',0.545,0.478,77.344
'[10:17:23.456]',0.549,0.475,81.354
'[10:17:23.464]',0.545,0.467,84.219
'[10:17:23.472]',0.541,0.459,86.511
'[10:17:23.480]',0.541,0.451,88.802
'[10:17:23.488]',0.545,0.439,91.667
'[10:17:23.496]',0.545,0.427,93.959
'[10:17:23.504]',0.533,0.416,95.104
'[10:17:23.512]',0.522,0.404,96.250
'[10:17:23.520]',0.506,0.392,96.250
'[10:17:23.528]',0.494,0.380,96.250
'[10:17:23.536]',0.490,0.373,95.104
'[10:17:23.544]',0.490,0.365,94.531
'[10:17:23.552]',0.486,0.357,92.813
'[10:17:23.560]',0.486,0.345,90.521
'[10:17:23.568]',0.486,0.337,88.229
'[10:17:23.576]',0.486,0.325,85.938
'[10:17:23.584]',0.486,0.318,83.646
'[10:17:23.592]',0.494,0.306,81.354
'[10:17:23.600]',0.510,0.298,79.063
'[10:17:23.608]',0.494,0.290,76.771
'[10:17:23.616]',0.431,0.290,74.479
'[10:17:23.624]',0.345,0.294,71.615
'[10:17:23.632]',0.263,0.306,69.323
'[10:17:23.640]',0.208,0.322,68.177
'[10:17:23.648]',0.173,0.345,67.031
'[10:17:23.656]',0.180,0.376,65.886
