'Time','II','AVR','V','RESP','PLETH','ABP','CVP','ICP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg','mmHg'
'[03:44:57.936]',0.785,-0.085,-0.500,0.641,2.354,75.122,-,-
'[03:44:57.944]',0.345,0.320,-0.085,0.653,2.346,74.683,-,-
'[03:44:57.952]',0.205,0.510,0.430,0.665,2.337,74.292,-,-
'[03:44:57.960]',0.080,0.665,0.765,0.676,2.323,73.901,-,-
'[03:44:57.968]',0.010,0.740,0.905,0.686,2.304,73.608,-,-
'[03:44:57.976]',-0.015,0.770,0.950,0.697,2.283,73.315,-,-
'[03:44:57.984]',-0.020,0.780,0.975,0.707,2.259,72.973,-,-
'[03:44:57.992]',-0.025,0.780,0.980,0.718,2.239,72.729,-,-
'[03:44:58.000]',-0.020,0.780,0.985,0.728,2.221,72.485,-,-
'[03:44:58.008]',-0.015,0.780,0.990,0.738,2.207,72.289,-,-
'[03:44:58.016]',0.000,0.775,0.990,0.748,2.191,72.094,-,-
'[03:44:58.024]',0.005,0.760,0.990,0.758,2.175,71.947,-,-
'[03:44:58.032]',0.020,0.755,0.990,0.766,2.165,71.801,-,-
'[03:44:58.040]',0.030,0.755,0.990,0.775,2.155,71.557,-,-
'[03:44:58.048]',0.030,0.750,0.995,0.784,2.143,71.312,-,-
'[03:44:58.056]',0.035,0.740,0.995,0.793,2.129,71.068,-,-
'[03:44:58.064]',0.045,0.740,1.000,0.802,2.117,70.726,-,-
'[03:44:58.072]',0.060,0.730,1.005,0.811,2.109,70.384,-,-
'[03:44:58.080]',0.075,0.720,1.010,0.820,2.106,70.042,-,-
'[03:44:58.088]',0.080,0.710,1.015,0.830,2.104,69.749,-,-
'[03:44:58.096]',0.100,0.705,1.020,0.839,2.103,69.359,-,-
'[03:44:58.104]',0.110,0.700,1.030,0.849,2.103,68.968,-,-
'[03:44:58.112]',0.125,0.695,1.050,0.858,2.103,68.626,-,-
'[03:44:58.120]',0.135,0.685,1.065,0.867,2.103,68.235,-,-
'[03:44:58.128]',0.150,0.680,1.085,0.875,2.098,67.844,-,-
'[03:44:58.136]',0.165,0.670,1.095,0.883,2.090,67.503,-,-
'[03:44:58.144]',0.195,0.655,1.110,0.892,2.086,67.161,-,-
'[03:44:58.152]',0.220,0.640,1.120,0.901,2.079,66.965,-,-
'[03:44:58.160]',0.245,0.630,1.130,0.910,2.068,67.063,-,-
'[03:44:58.168]',0.275,0.615,1.125,0.920,2.059,67.503,-,-
'[03:44:58.176]',0.295,0.600,1.125,0.928,2.047,68.724,-,-
