'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[18:14:14.000]',-0.157,0.541,69.375
'[18:14:14.008]',-0.142,0.537,69.375
'[18:14:14.016]',-0.118,0.533,68.333
'[18:14:14.024]',-0.102,0.529,68.333
'[18:14:14.032]',-0.094,0.525,68.333
'[18:14:14.040]',-0.087,0.522,71.250
'[18:14:14.048]',-0.087,0.518,76.875
'[18:14:14.056]',-0.079,0.514,87.083
'[18:14:14.064]',-0.071,0.510,101.250
'[18:14:14.072]',-0.063,0.506,115.208
'[18:14:14.080]',-0.047,0.502,125.625
'[18:14:14.088]',-0.055,0.498,133.125
'[18:14:14.096]',-0.063,0.494,138.750
'[18:14:14.104]',-0.071,0.490,142.500
'[18:14:14.112]',-0.087,0.486,146.250
'[18:14:14.120]',-0.102,0.482,148.958
'[18:14:14.128]',-0.118,0.478,150.833
'[18:14:14.136]',-0.126,0.475,152.708
'[18:14:14.144]',-0.126,0.471,153.750
'[18:14:14.152]',-0.118,0.467,153.750
'[18:14:14.160]',-0.102,0.463,152.708
'[18:14:14.168]',-0.110,0.459,151.875
'[18:14:14.176]',-0.118,0.459,150.000
'[18:14:14.184]',-0.110,0.455,148.125
'[18:14:14.192]',-0.087,0.455,145.208
'[18:14:14.200]',-0.063,0.451,142.500
'[18:14:14.208]',-0.055,0.447,139.583
'[18:14:14.216]',-0.063,0.447,136.875
'[18:14:14.224]',-0.063,0.443,133.125
'[18:14:14.232]',-0.063,0.443,129.375
'[18:14:14.240]',-0.071,0.439,125.625
'[18:14:14.248]',-0.071,0.439,122.708
'[18:14:14.256]',-0.031,0.435,118.958
'[18:14:14.264]',0.118,0.435,114.375
'[18:14:14.272]',0.354,0.431,109.583
'[18:14:14.280]',0.409,0.431,105.000
'[18:14:14.288]',0.189,0.435,101.250
'[18:14:14.296]',-0.008,0.435,98.333
'[18:14:14.304]',-0.110,0.439,95.625
'[18:14:14.312]',-0.157,0.443,92.708
'[18:14:14.320]',-0.165,0.447,90.000
'[18:14:14.328]',-0.118,0.455,88.125
'[18:14:14.336]',-0.087,0.463,86.250
'[18:14:14.344]',-0.079,0.467,87.083
'[18:14:14.352]',-0.071,0.478,90.000
'[18:14:14.360]',-0.063,0.486,90.833
'[18:14:14.368]',-0.055,0.494,88.958
'[18:14:14.376]',-0.047,0.502,86.250
'[18:14:14.384]',-0.039,0.514,82.500
'[18:14:14.392]',-0.039,0.522,80.625
'[18:14:14.400]',-0.047,0.529,81.458
'[18:14:14.408]',-0.047,0.537,84.375
'[18:14:14.416]',-0.055,0.545,83.333
'[18:14:14.424]',-0.063,0.553,79.583
'[18:14:14.432]',-0.087,0.557,76.875
'[18:14:14.440]',-0.118,0.557,77.708
'[18:14:14.448]',-0.134,0.561,78.750
'[18:14:14.456]',-0.142,0.561,76.875
'[18:14:14.464]',-0.142,0.565,75.000
'[18:14:14.472]',-0.134,0.569,73.958
'[18:14:14.480]',-0.142,0.569,75.833
'[18:14:14.488]',-0.150,0.573,78.750
'[18:14:14.496]',-0.150,0.573,81.458
'[18:14:14.504]',-0.142,0.576,85.208
'[18:14:14.512]',-0.134,0.576,92.708
'[18:14:14.520]',-0.118,0.573,103.125
'[18:14:14.528]',-0.110,0.569,115.208
'[18:14:14.536]',-0.110,0.565,124.583
'[18:14:14.544]',-0.118,0.557,133.958
'[18:14:14.552]',-0.118,0.553,142.500
'[18:14:14.560]',-0.118,0.545,148.125
'[18:14:14.568]',-0.126,0.541,150.000
'[18:14:14.576]',-0.134,0.533,147.083
'[18:14:14.584]',-0.134,0.529,146.250
'[18:14:14.592]',-0.134,0.529,148.958
'[18:14:14.600]',-0.142,0.525,150.000
'[18:14:14.608]',-0.134,0.518,146.250
'[18:14:14.616]',-0.126,0.514,142.500
'[18:14:14.624]',-0.102,0.510,140.625
'[18:14:14.632]',-0.094,0.506,140.625
'[18:14:14.640]',-0.087,0.502,141.458
'[18:14:14.648]',-0.110,0.498,140.625
'[18:14:14.656]',-0.118,0.494,137.708
'[18:14:14.664]',-0.118,0.490,133.125
'[18:14:14.672]',-0.102,0.486,127.500
'[18:14:14.680]',-0.094,0.478,123.750
'[18:14:14.688]',-0.087,0.475,120.833
'[18:14:14.696]',-0.087,0.471,116.250
'[18:14:14.704]',-0.087,0.467,111.458
'[18:14:14.712]',-0.079,0.463,107.708
'[18:14:14.720]',-0.071,0.459,106.875
'[18:14:14.728]',-0.063,0.455,105.000
'[18:14:14.736]',-0.063,0.455,101.250
'[18:14:14.744]',-0.063,0.455,95.625
'[18:14:14.752]',-0.055,0.455,91.875
'[18:14:14.760]',-0.039,0.455,91.875
'[18:14:14.768]',-0.024,0.459,91.875
'[18:14:14.776]',-0.016,0.463,93.750
'[18:14:14.784]',-0.016,0.467,95.625
'[18:14:14.792]',-0.016,0.475,95.625
'[18:14:14.800]',-0.024,0.482,90.000
'[18:14:14.808]',-0.047,0.486,80.625
'[18:14:14.816]',-0.071,0.494,75.833
'[18:14:14.824]',-0.063,0.506,75.833
'[18:14:14.832]',0.063,0.514,78.750
'[18:14:14.840]',0.299,0.518,80.625
'[18:14:14.848]',0.417,0.525,81.458
'[18:14:14.856]',0.276,0.529,82.500
'[18:14:14.864]',0.079,0.537,82.500
'[18:14:14.872]',-0.047,0.545,81.458
'[18:14:14.880]',-0.126,0.549,79.583
'[18:14:14.888]',-0.142,0.553,79.583
'[18:14:14.896]',-0.134,0.557,79.583
'[18:14:14.904]',-0.118,0.557,78.750
'[18:14:14.912]',-0.118,0.557,78.750
'[18:14:14.920]',-0.118,0.557,77.708
'[18:14:14.928]',-0.126,0.553,80.625
'[18:14:14.936]',-0.134,0.553,85.208
'[18:14:14.944]',-0.134,0.549,87.083
'[18:14:14.952]',-0.126,0.549,85.208
'[18:14:14.960]',-0.118,0.545,78.750
'[18:14:14.968]',-0.102,0.541,71.250
'[18:14:14.976]',-0.094,0.537,64.583
'[18:14:14.984]',-0.087,0.533,61.875
'[18:14:14.992]',-0.071,0.529,62.708
'[18:14:15.000]',-0.055,0.525,65.625
'[18:14:15.008]',-0.031,0.522,67.500
'[18:14:15.016]',-0.008,0.518,70.208
'[18:14:15.024]',0.016,0.514,71.250
'[18:14:15.032]',0.039,0.510,69.375
'[18:14:15.040]',0.063,0.506,64.583
'[18:14:15.048]',0.087,0.502,62.708
'[18:14:15.056]',0.094,0.498,65.625
'[18:14:15.064]',0.102,0.490,73.958
'[18:14:15.072]',0.102,0.486,87.083
'[18:14:15.080]',0.094,0.482,103.125
'[18:14:15.088]',0.094,0.478,118.958
'[18:14:15.096]',0.094,0.475,133.125
'[18:14:15.104]',0.079,0.471,140.625
'[18:14:15.112]',0.071,0.467,143.333
'[18:14:15.120]',0.055,0.463,144.375
'[18:14:15.128]',0.039,0.459,147.083
'[18:14:15.136]',0.024,0.459,151.875
'[18:14:15.144]',0.008,0.455,155.625
'[18:14:15.152]',-0.008,0.455,156.458
'[18:14:15.160]',-0.008,0.451,155.625
'[18:14:15.168]',-0.008,0.447,153.750
'[18:14:15.176]',-0.008,0.447,150.833
'[18:14:15.184]',-0.008,0.443,147.083
'[18:14:15.192]',-0.016,0.443,143.333
'[18:14:15.200]',-0.031,0.439,141.458
'[18:14:15.208]',-0.047,0.439,140.625
'[18:14:15.216]',-0.047,0.435,139.583
'[18:14:15.224]',-0.047,0.435,137.708
'[18:14:15.232]',-0.039,0.435,135.833
'[18:14:15.240]',-0.031,0.435,133.125
'[18:14:15.248]',-0.016,0.431,129.375
'[18:14:15.256]',0.000,0.431,125.625
'[18:14:15.264]',0.008,0.427,121.875
'[18:14:15.272]',0.016,0.427,118.125
'[18:14:15.280]',0.008,0.424,113.333
'[18:14:15.288]',0.008,0.424,109.583
'[18:14:15.296]',0.008,0.420,105.833
'[18:14:15.304]',0.008,0.420,102.083
'[18:14:15.312]',0.008,0.420,97.500
'[18:14:15.320]',-0.008,0.420,91.875
'[18:14:15.328]',-0.024,0.424,86.250
'[18:14:15.336]',-0.031,0.427,84.375
'[18:14:15.344]',0.008,0.431,86.250
'[18:14:15.352]',0.181,0.439,90.833
'[18:14:15.360]',0.417,0.447,94.583
'[18:14:15.368]',0.457,0.459,96.458
'[18:14:15.376]',0.244,0.467,96.458
