'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[19:09:18.000]',0.227,0.447,73.750
'[19:09:18.008]',0.242,0.443,73.281
'[19:09:18.016]',0.258,0.439,72.969
'[19:09:18.024]',0.258,0.435,72.500
'[19:09:18.032]',0.266,0.427,72.031
'[19:09:18.040]',0.297,0.424,71.719
'[19:09:18.048]',0.336,0.420,71.250
'[19:09:18.056]',0.383,0.416,70.781
'[19:09:18.064]',0.422,0.408,70.781
'[19:09:18.072]',0.445,0.404,71.719
'[19:09:18.080]',0.469,0.400,73.281
'[19:09:18.088]',0.477,0.396,76.719
'[19:09:18.096]',0.477,0.392,81.719
'[19:09:18.104]',0.461,0.388,87.969
'[19:09:18.112]',0.438,0.384,95.781
'[19:09:18.120]',0.406,0.380,103.750
'[19:09:18.128]',0.352,0.380,111.719
'[19:09:18.136]',0.305,0.376,119.531
'[19:09:18.144]',0.266,0.373,126.250
'[19:09:18.152]',0.250,0.369,132.500
'[19:09:18.160]',0.234,0.365,137.500
'[19:09:18.168]',0.211,0.365,141.719
'[19:09:18.176]',0.211,0.361,144.219
'[19:09:18.184]',0.211,0.357,146.250
'[19:09:18.192]',0.203,0.357,147.031
'[19:09:18.200]',0.195,0.357,147.031
'[19:09:18.208]',0.195,0.357,146.250
'[19:09:18.216]',0.203,0.353,145.469
'[19:09:18.224]',0.211,0.353,144.219
'[19:09:18.232]',0.203,0.349,142.500
'[19:09:18.240]',0.203,0.349,140.781
'[19:09:18.248]',0.211,0.349,138.750
'[19:09:18.256]',0.211,0.345,137.031
'[19:09:18.264]',0.211,0.341,135.000
'[19:09:18.272]',0.211,0.341,132.969
'[19:09:18.280]',0.227,0.337,130.781
'[19:09:18.288]',0.227,0.333,128.750
'[19:09:18.296]',0.234,0.333,126.719
'[19:09:18.304]',0.242,0.329,124.531
'[19:09:18.312]',0.227,0.329,122.500
'[19:09:18.320]',0.211,0.329,120.469
'[19:09:18.328]',0.211,0.329,117.969
'[19:09:18.336]',0.211,0.333,115.000
'[19:09:18.344]',0.227,0.341,111.719
'[19:09:18.352]',0.211,0.353,107.969
'[19:09:18.360]',0.211,0.373,104.531
'[19:09:18.368]',0.211,0.396,101.250
'[19:09:18.376]',0.227,0.424,98.750
'[19:09:18.384]',0.227,0.455,96.719
'[19:09:18.392]',0.227,0.486,94.531
'[19:09:18.400]',0.227,0.514,93.281
'[19:09:18.408]',0.242,0.537,92.500
'[19:09:18.416]',0.250,0.561,91.719
'[19:09:18.424]',0.258,0.584,91.250
'[19:09:18.432]',0.266,0.600,91.250
'[19:09:18.440]',0.281,0.616,91.250
'[19:09:18.448]',0.281,0.627,91.250
'[19:09:18.456]',0.281,0.635,91.250
'[19:09:18.464]',0.297,0.639,91.719
'[19:09:18.472]',0.297,0.643,91.719
'[19:09:18.480]',0.273,0.647,91.250
'[19:09:18.488]',0.250,0.647,91.250
'[19:09:18.496]',0.242,0.647,90.781
'[19:09:18.504]',0.227,0.647,90.781
'[19:09:18.512]',0.211,0.643,90.469
'[19:09:18.520]',0.188,0.639,90.000
