'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[18:58:48.000]',-0.150,0.384,148.438
'[18:58:48.008]',-0.150,0.380,142.969
'[18:58:48.016]',-0.150,0.380,136.719
'[18:58:48.024]',-0.150,0.380,131.250
'[18:58:48.032]',-0.150,0.380,125.781
'[18:58:48.040]',-0.150,0.376,120.312
'[18:58:48.048]',-0.150,0.376,117.188
'[18:58:48.056]',-0.150,0.376,114.844
'[18:58:48.064]',-0.157,0.376,113.281
'[18:58:48.072]',-0.157,0.376,111.719
'[18:58:48.080]',-0.173,0.376,110.156
'[18:58:48.088]',-0.173,0.376,107.812
'[18:58:48.096]',-0.173,0.376,107.031
'[18:58:48.104]',-0.173,0.380,105.469
'[18:58:48.112]',-0.173,0.376,103.906
'[18:58:48.120]',-0.173,0.376,102.344
'[18:58:48.128]',-0.173,0.376,99.219
'[18:58:48.136]',-0.173,0.376,96.094
'[18:58:48.144]',-0.173,0.380,92.969
'[18:58:48.152]',-0.173,0.388,91.406
'[18:58:48.160]',-0.173,0.404,91.406
'[18:58:48.168]',-0.173,0.420,91.406
'[18:58:48.176]',-0.157,0.439,92.188
'[18:58:48.184]',-0.157,0.467,92.188
'[18:58:48.192]',-0.157,0.490,92.969
'[18:58:48.200]',-0.157,0.514,94.531
'[18:58:48.208]',-0.150,0.533,96.094
'[18:58:48.216]',-0.150,0.553,97.656
'[18:58:48.224]',-0.150,0.573,99.219
'[18:58:48.232]',-0.150,0.584,99.219
'[18:58:48.240]',-0.134,0.588,100.000
'[18:58:48.248]',-0.126,0.592,100.000
'[18:58:48.256]',-0.110,0.588,100.781
'[18:58:48.264]',-0.087,0.584,100.781
'[18:58:48.272]',-0.047,0.576,100.000
'[18:58:48.280]',-0.016,0.569,98.438
'[18:58:48.288]',-0.016,0.557,97.656
'[18:58:48.296]',-0.039,0.549,96.094
'[18:58:48.304]',-0.047,0.537,95.312
'[18:58:48.312]',-0.063,0.529,94.531
'[18:58:48.320]',-0.071,0.522,93.750
'[18:58:48.328]',-0.102,0.514,92.969
'[18:58:48.336]',-0.126,0.506,91.406
'[18:58:48.344]',-0.126,0.498,89.844
'[18:58:48.352]',-0.126,0.490,89.062
'[18:58:48.360]',-0.126,0.486,89.062
'[18:58:48.368]',-0.110,0.478,89.062
'[18:58:48.376]',-0.126,0.471,88.281
'[18:58:48.384]',-0.102,0.467,87.500
'[18:58:48.392]',0.071,0.459,86.719
'[18:58:48.400]',0.504,0.455,85.156
'[18:58:48.408]',0.976,0.451,84.375
'[18:58:48.416]',1.063,0.447,84.375
'[18:58:48.424]',0.528,0.443,84.375
'[18:58:48.432]',0.126,0.439,83.594
'[18:58:48.440]',-0.126,0.435,82.031
'[18:58:48.448]',-0.236,0.435,81.250
'[18:58:48.456]',-0.244,0.435,81.250
'[18:58:48.464]',-0.157,0.431,81.250
'[18:58:48.472]',-0.126,0.431,80.469
'[18:58:48.480]',-0.110,0.431,79.688
'[18:58:48.488]',-0.102,0.435,78.906
'[18:58:48.496]',-0.087,0.435,78.125
'[18:58:48.504]',-0.071,0.435,78.125
'[18:58:48.512]',-0.047,0.435,78.125
'[18:58:48.520]',-0.047,0.431,78.125
'[18:58:48.528]',-0.039,0.431,77.344
'[18:58:48.536]',-0.039,0.431,76.562
'[18:58:48.544]',-0.024,0.427,75.781
'[18:58:48.552]',-0.016,0.427,75.781
'[18:58:48.560]',0.016,0.427,76.562
'[18:58:48.568]',0.024,0.424,76.562
'[18:58:48.576]',0.039,0.424,76.562
'[18:58:48.584]',0.047,0.420,75.781
'[18:58:48.592]',0.063,0.420,75.781
'[18:58:48.600]',0.071,0.416,75.781
'[18:58:48.608]',0.102,0.416,75.781
'[18:58:48.616]',0.126,0.412,75.781
'[18:58:48.624]',0.134,0.412,75.781
'[18:58:48.632]',0.157,0.408,75.000
'[18:58:48.640]',0.173,0.404,74.219
'[18:58:48.648]',0.197,0.404,75.000
'[18:58:48.656]',0.213,0.400,78.125
'[18:58:48.664]',0.236,0.400,84.375
'[18:58:48.672]',0.236,0.400,94.531
'[18:58:48.680]',0.236,0.396,106.250
'[18:58:48.688]',0.220,0.396,119.531
'[18:58:48.696]',0.213,0.392,134.375
'[18:58:48.704]',0.173,0.392,148.438
'[18:58:48.712]',0.134,0.392,160.156
'[18:58:48.720]',0.087,0.388,167.969
'[18:58:48.728]',0.039,0.388,171.875
'[18:58:48.736]',-0.016,0.384,171.094
'[18:58:48.744]',-0.047,0.384,167.969
'[18:58:48.752]',-0.063,0.384,163.281
'[18:58:48.760]',-0.071,0.384,157.031
'[18:58:48.768]',-0.071,0.384,150.781
'[18:58:48.776]',-0.071,0.384,142.969
'[18:58:48.784]',-0.087,0.384,135.938
'[18:58:48.792]',-0.071,0.384,129.688
'[18:58:48.800]',-0.071,0.384,125.000
'[18:58:48.808]',-0.071,0.384,121.875
'[18:58:48.816]',-0.071,0.384,119.531
'[18:58:48.824]',-0.071,0.384,117.188
'[18:58:48.832]',-0.071,0.380,114.844
'[18:58:48.840]',-0.087,0.380,114.062
'[18:58:48.848]',-0.087,0.380,113.281
'[18:58:48.856]',-0.087,0.380,112.500
'[18:58:48.864]',-0.087,0.380,111.719
'[18:58:48.872]',-0.087,0.376,110.938
'[18:58:48.880]',-0.102,0.376,108.594
'[18:58:48.888]',-0.102,0.376,106.250
'[18:58:48.896]',-0.102,0.376,103.906
'[18:58:48.904]',-0.102,0.380,101.562
'[18:58:48.912]',-0.087,0.384,100.000
'[18:58:48.920]',-0.087,0.392,98.438
'[18:58:48.928]',-0.087,0.408,96.875
'[18:58:48.936]',-0.087,0.427,96.094
'[18:58:48.944]',-0.087,0.455,96.094
'[18:58:48.952]',-0.087,0.482,96.875
