'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[11:17:03.000]',0.685,0.267,98.438
'[11:17:03.008]',0.709,0.267,98.438
'[11:17:03.016]',0.717,0.263,98.438
'[11:17:03.024]',0.709,0.263,98.438
'[11:17:03.032]',0.724,0.259,98.438
'[11:17:03.040]',0.709,0.255,98.438
'[11:17:03.048]',0.709,0.251,98.438
'[11:17:03.056]',0.724,0.247,97.708
'[11:17:03.064]',0.740,0.243,97.708
'[11:17:03.072]',0.740,0.243,96.875
'[11:17:03.080]',0.772,0.239,96.146
'[11:17:03.088]',0.811,0.235,95.312
'[11:17:03.096]',0.772,0.231,95.312
'[11:17:03.104]',0.764,0.227,94.583
'[11:17:03.112]',0.787,0.224,93.750
'[11:17:03.120]',0.772,0.227,93.750
'[11:17:03.128]',0.787,0.231,93.021
'[11:17:03.136]',0.772,0.243,93.021
'[11:17:03.144]',0.780,0.259,93.021
'[11:17:03.152]',0.740,0.282,92.188
'[11:17:03.160]',0.709,0.306,92.188
'[11:17:03.168]',0.685,0.341,92.188
'[11:17:03.176]',0.685,0.380,92.188
'[11:17:03.184]',0.701,0.424,92.188
'[11:17:03.192]',0.685,0.471,92.188
'[11:17:03.200]',0.669,0.514,92.188
'[11:17:03.208]',0.685,0.557,92.188
'[11:17:03.216]',0.693,0.596,92.188
'[11:17:03.224]',0.685,0.627,91.458
'[11:17:03.232]',0.724,0.647,91.458
'[11:17:03.240]',0.787,0.667,91.458
'[11:17:03.248]',0.992,0.678,91.458
'[11:17:03.256]',1.244,0.686,91.458
'[11:17:03.264]',1.299,0.690,91.458
'[11:17:03.272]',0.858,0.694,90.625
'[11:17:03.280]',0.402,0.690,90.625
'[11:17:03.288]',0.276,0.686,90.625
'[11:17:03.296]',0.291,0.678,90.625
'[11:17:03.304]',0.346,0.671,90.625
'[11:17:03.312]',0.409,0.659,89.896
'[11:17:03.320]',0.417,0.643,89.896
'[11:17:03.328]',0.417,0.627,89.896
'[11:17:03.336]',0.433,0.608,89.896
'[11:17:03.344]',0.409,0.588,89.896
'[11:17:03.352]',0.496,0.569,89.062
'[11:17:03.360]',0.614,0.549,89.062
'[11:17:03.368]',0.661,0.525,89.062
'[11:17:03.376]',0.693,0.502,89.062
'[11:17:03.384]',0.693,0.478,89.062
'[11:17:03.392]',0.693,0.459,88.333
'[11:17:03.400]',0.693,0.435,88.333
'[11:17:03.408]',0.693,0.416,88.333
'[11:17:03.416]',0.685,0.400,88.333
'[11:17:03.424]',0.669,0.384,87.500
'[11:17:03.432]',0.685,0.373,87.500
'[11:17:03.440]',0.685,0.365,87.500
'[11:17:03.448]',0.677,0.357,87.500
'[11:17:03.456]',0.669,0.353,86.771
'[11:17:03.464]',0.669,0.349,86.771
'[11:17:03.472]',0.669,0.345,86.771
'[11:17:03.480]',0.669,0.345,85.938
'[11:17:03.488]',0.654,0.345,85.938
'[11:17:03.496]',0.661,0.341,85.938
'[11:17:03.504]',0.646,0.341,85.938
'[11:17:03.512]',0.654,0.341,85.938
'[11:17:03.520]',0.646,0.341,85.938
'[11:17:03.528]',0.646,0.341,85.938
'[11:17:03.536]',0.638,0.337,86.771
'[11:17:03.544]',0.646,0.337,87.500
'[11:17:03.552]',0.638,0.337,88.333
'[11:17:03.560]',0.646,0.333,89.062
'[11:17:03.568]',0.638,0.333,90.625
'[11:17:03.576]',0.646,0.329,91.458
'[11:17:03.584]',0.630,0.329,92.188
'[11:17:03.592]',0.630,0.325,93.750
'[11:17:03.600]',0.622,0.322,94.583
'[11:17:03.608]',0.622,0.322,94.583
'[11:17:03.616]',0.614,0.318,95.312
'[11:17:03.624]',0.614,0.314,96.146
'[11:17:03.632]',0.606,0.310,96.146
'[11:17:03.640]',0.614,0.310,96.875
'[11:17:03.648]',0.606,0.306,96.875
'[11:17:03.656]',0.598,0.306,96.875
'[11:17:03.664]',0.606,0.302,96.875
'[11:17:03.672]',0.598,0.302,97.708
'[11:17:03.680]',0.598,0.298,97.708
'[11:17:03.688]',0.606,0.298,97.708
'[11:17:03.696]',0.614,0.294,97.708
'[11:17:03.704]',0.606,0.290,97.708
'[11:17:03.712]',0.622,0.286,96.875
'[11:17:03.720]',0.614,0.286,96.875
'[11:17:03.728]',0.622,0.282,96.146
'[11:17:03.736]',0.638,0.278,96.146
'[11:17:03.744]',0.677,0.275,95.312
'[11:17:03.752]',0.693,0.271,94.583
'[11:17:03.760]',0.693,0.271,94.583
'[11:17:03.768]',0.669,0.267,93.750
'[11:17:03.776]',0.669,0.263,93.021
'[11:17:03.784]',0.661,0.263,93.021
'[11:17:03.792]',0.709,0.263,92.188
'[11:17:03.800]',0.701,0.267,92.188
'[11:17:03.808]',0.709,0.275,92.188
'[11:17:03.816]',0.638,0.286,92.188
'[11:17:03.824]',0.606,0.306,92.188
'[11:17:03.832]',0.583,0.333,92.188
'[11:17:03.840]',0.591,0.369,91.458
'[11:17:03.848]',0.583,0.400,91.458
'[11:17:03.856]',0.583,0.431,91.458
'[11:17:03.864]',0.583,0.471,91.458
'[11:17:03.872]',0.583,0.510,91.458
'[11:17:03.880]',0.598,0.545,91.458
'[11:17:03.888]',0.591,0.580,91.458
'[11:17:03.896]',0.614,0.612,91.458
'[11:17:03.904]',0.677,0.635,91.458
'[11:17:03.912]',0.835,0.655,91.458
'[11:17:03.920]',1.071,0.671,90.625
'[11:17:03.928]',1.236,0.678,90.625
'[11:17:03.936]',1.000,0.686,90.625
'[11:17:03.944]',0.480,0.686,90.625
'[11:17:03.952]',0.205,0.682,90.625
'[11:17:03.960]',0.189,0.678,90.625
'[11:17:03.968]',0.213,0.671,89.896
'[11:17:03.976]',0.315,0.659,89.896
'[11:17:03.984]',0.354,0.647,89.896
'[11:17:03.992]',0.362,0.635,89.896
'[11:17:04.000]',0.370,0.616,89.062
'[11:17:04.008]',0.354,0.600,89.062
'[11:17:04.016]',0.449,0.576,89.062
'[11:17:04.024]',0.543,0.557,89.062
'[11:17:04.032]',0.598,0.533,89.062
'[11:17:04.040]',0.622,0.506,88.333
'[11:17:04.048]',0.622,0.486,88.333
'[11:17:04.056]',0.630,0.467,88.333
'[11:17:04.064]',0.638,0.447,88.333
'[11:17:04.072]',0.630,0.427,87.500
'[11:17:04.080]',0.638,0.412,87.500
'[11:17:04.088]',0.630,0.400,87.500
'[11:17:04.096]',0.638,0.388,87.500
'[11:17:04.104]',0.630,0.380,87.500
'[11:17:04.112]',0.638,0.373,86.771
'[11:17:04.120]',0.630,0.369,86.771
'[11:17:04.128]',0.638,0.365,86.771
'[11:17:04.136]',0.630,0.361,85.938
'[11:17:04.144]',0.638,0.357,85.938
'[11:17:04.152]',0.622,0.357,85.938
'[11:17:04.160]',0.630,0.357,85.938
'[11:17:04.168]',0.622,0.357,85.938
'[11:17:04.176]',0.622,0.353,85.938
'[11:17:04.184]',0.622,0.353,85.938
'[11:17:04.192]',0.638,0.349,86.771
'[11:17:04.200]',0.638,0.349,87.500
'[11:17:04.208]',0.646,0.345,88.333
'[11:17:04.216]',0.646,0.345,89.062
'[11:17:04.224]',0.654,0.341,90.625
'[11:17:04.232]',0.646,0.337,91.458
'[11:17:04.240]',0.654,0.333,93.021
'[11:17:04.248]',0.661,0.329,93.750
'[11:17:04.256]',0.654,0.329,94.583
'[11:17:04.264]',0.646,0.325,95.312
'[11:17:04.272]',0.646,0.325,95.312
'[11:17:04.280]',0.638,0.322,96.146
'[11:17:04.288]',0.638,0.318,96.875
'[11:17:04.296]',0.646,0.314,96.875
'[11:17:04.304]',0.630,0.310,96.875
'[11:17:04.312]',0.646,0.306,97.708
'[11:17:04.320]',0.638,0.302,97.708
'[11:17:04.328]',0.646,0.298,97.708
'[11:17:04.336]',0.638,0.294,98.438
'[11:17:04.344]',0.646,0.290,98.438
'[11:17:04.352]',0.646,0.290,98.438
'[11:17:04.360]',0.654,0.286,98.438
'[11:17:04.368]',0.646,0.282,98.438
'[11:17:04.376]',0.654,0.278,98.438
'[11:17:04.384]',0.646,0.278,97.708
'[11:17:04.392]',0.661,0.275,97.708
'[11:17:04.400]',0.669,0.271,96.875
'[11:17:04.408]',0.724,0.267,96.875
'[11:17:04.416]',0.740,0.263,96.146
'[11:17:04.424]',0.724,0.259,95.312
'[11:17:04.432]',0.709,0.259,94.583
'[11:17:04.440]',0.717,0.255,94.583
'[11:17:04.448]',0.709,0.255,93.750
'[11:17:04.456]',0.724,0.259,93.750
'[11:17:04.464]',0.724,0.263,93.021
'[11:17:04.472]',0.709,0.275,93.021
'[11:17:04.480]',0.669,0.294,93.021
'[11:17:04.488]',0.630,0.318,92.188
'[11:17:04.496]',0.622,0.349,92.188
'[11:17:04.504]',0.614,0.384,92.188
'[11:17:04.512]',0.614,0.420,92.188
'[11:17:04.520]',0.622,0.463,92.188
