'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[19:13:57.000]',-,-,-
'[19:13:57.008]',-,-,-
'[19:13:57.016]',-,-,-
'[19:13:57.024]',-,-,-
'[19:13:57.032]',-,-,-
'[19:13:57.040]',-,-,-
'[19:13:57.048]',-,-,-
'[19:13:57.056]',-,-,-
'[19:13:57.064]',-,-,-
'[19:13:57.072]',-,-,-
'[19:13:57.080]',-,-,-
'[19:13:57.088]',-,-,-
'[19:13:57.096]',-,-,-
'[19:13:57.104]',-,-,-
'[19:13:57.112]',-,-,-
'[19:13:57.120]',-,-,-
'[19:13:57.128]',-,-,-
'[19:13:57.136]',-,-,-
'[19:13:57.144]',-,-,-
'[19:13:57.152]',-,-,-
'[19:13:57.160]',-,-,-
'[19:13:57.168]',-,-,-
'[19:13:57.176]',-,-,-
'[19:13:57.184]',-,-,-
'[19:13:57.192]',-,-,-
'[19:13:57.200]',-,-,-
'[19:13:57.208]',-,-,-
'[19:13:57.216]',-,-,-
'[19:13:57.224]',-,-,-
'[19:13:57.232]',-,-,-
'[19:13:57.240]',-,-,-
'[19:13:57.248]',-,-,-
'[19:13:57.256]',-,-,-
'[19:13:57.264]',-,-,-
'[19:13:57.272]',-,-,-
'[19:13:57.280]',-,-,-
'[19:13:57.288]',-,-,-
'[19:13:57.296]',-,-,-
'[19:13:57.304]',-,-,-
'[19:13:57.312]',-,-,-
'[19:13:57.320]',-,-,-
'[19:13:57.328]',-,-,-
'[19:13:57.336]',-,-,-
'[19:13:57.344]',-,-,-
'[19:13:57.352]',-,-,-
'[19:13:57.360]',-,-,-
'[19:13:57.368]',-,-,-
'[19:13:57.376]',-,-,-
'[19:13:57.384]',-,-,-
'[19:13:57.392]',-,-,-
'[19:13:57.400]',-,-,-
'[19:13:57.408]',-,-,-
'[19:13:57.416]',-,-,-
'[19:13:57.424]',-,-,-
'[19:13:57.432]',-,-,-
'[19:13:57.440]',-,-,-
'[19:13:57.448]',-,-,-
'[19:13:57.456]',-,-,-
'[19:13:57.464]',-,-,-
'[19:13:57.472]',-,-,-
'[19:13:57.480]',-,-,-
'[19:13:57.488]',-,-,-
'[19:13:57.496]',-,-,-
'[19:13:57.504]',-,-,-
'[19:13:57.512]',-,-,-
'[19:13:57.520]',-,-,-
'[19:13:57.528]',-,-,-
'[19:13:57.536]',-,-,-
'[19:13:57.544]',-,-,-
'[19:13:57.552]',-,-,-
