Time,II,PLETH,ABP
12:39:24.267,0.56,2.81,107.728
12:39:24.275,0.55,2.767,106.796
12:39:24.283,0.55,2.719,105.786
12:39:24.291,0.56,2.666,104.854
12:39:24.299,0.62,2.606,103.922
12:39:24.307,0.791,2.539,102.99
12:39:24.315,1.061,2.463,102.032
12:39:24.323,1.205,2.38,101.1
12:39:24.331,1.035,2.292,100.22
12:39:24.339,0.705,2.21,99.417
12:39:24.347,0.47,2.132,98.641
12:39:24.355,0.39,2.048,97.994
12:39:24.363,0.43,1.965,97.424
12:39:24.371,0.48,1.889,96.958
12:39:24.379,0.51,1.823,96.544
12:39:24.387,0.52,1.77,96.233
12:39:24.395,0.525,1.73,96.0
12:39:24.403,0.525,1.701,95.767
12:39:24.411,0.535,1.681,95.715
12:39:24.419,0.54,1.67,95.663
12:39:24.427,0.535,1.662,95.534
12:39:24.435,0.535,1.656,95.482
12:39:24.443,0.54,1.651,95.43
12:39:24.451,0.54,1.646,95.249
12:39:24.459,0.545,1.639,95.016
12:39:24.467,0.545,1.63,94.706
12:39:24.475,0.555,1.619,94.472
12:39:24.483,0.555,1.605,94.188
12:39:24.491,0.555,1.59,93.722
12:39:24.499,0.56,1.575,93.204
12:39:24.507,0.56,1.557,92.608
12:39:24.515,0.565,1.539,91.961
12:39:24.523,0.565,1.519,91.314
12:39:24.531,0.565,1.498,90.667
12:39:24.539,0.565,1.479,90.33
12:39:24.547,0.565,1.46,90.485
12:39:24.555,0.565,1.438,91.547
12:39:24.563,0.565,1.413,94.136
12:39:24.571,0.57,1.385,98.537
12:39:24.579,0.57,1.357,105.036
12:39:24.587,0.575,1.328,113.476
12:39:24.595,0.575,1.301,123.314
12:39:24.603,0.575,1.275,133.929
12:39:24.611,0.575,1.249,144.595
12:39:24.619,0.575,1.226,154.434
12:39:24.627,0.575,1.203,162.485
12:39:24.635,0.58,1.184,168.052
12:39:24.643,0.58,1.17,170.744
12:39:24.651,0.58,1.16,170.744
12:39:24.659,0.58,1.149,168.57
12:39:24.667,0.585,1.138,164.867
12:39:24.675,0.59,1.127,160.492
12:39:24.683,0.59,1.118,156.039
12:39:24.691,0.6,1.109,151.922
12:39:24.699,0.6,1.102,148.401
12:39:24.707,0.605,1.095,145.528
12:39:24.715,0.605,1.088,143.43
12:39:24.723,0.605,1.082,141.773
12:39:24.731,0.605,1.077,140.608
12:39:24.739,0.605,1.076,139.625
12:39:24.747,0.61,1.076,138.667
12:39:24.755,0.62,1.074,137.502
12:39:24.763,0.625,1.069,135.922
12:39:24.771,0.63,1.064,133.877
12:39:24.779,0.63,1.056,131.288
12:39:24.787,0.625,1.046,128.233
12:39:24.795,0.625,1.038,124.893
12:39:24.803,0.62,1.036,121.631
12:39:24.811,0.625,1.045,118.576
12:39:24.819,0.63,1.071,115.987
12:39:24.827,0.63,1.123,114.175
12:39:24.835,0.62,1.206,113.061
12:39:24.843,0.6,1.303,112.595
12:39:24.851,0.59,1.419,112.958
12:39:24.859,0.585,1.575,113.657
12:39:24.867,0.585,1.758,114.77
12:39:24.875,0.6,1.954,115.935
12:39:24.883,0.62,2.151,117.049
12:39:24.891,0.63,2.336,117.929
12:39:24.899,0.635,2.501,118.524
12:39:24.907,0.64,2.64,118.757
12:39:24.915,0.645,2.751,118.628
12:39:24.923,0.645,2.833,118.162
12:39:24.931,0.64,2.889,117.411
12:39:24.939,0.625,2.917,116.453
12:39:24.947,0.605,2.925,115.34
12:39:24.955,0.57,2.921,114.175
12:39:24.963,0.53,2.906,112.88
12:39:24.971,0.51,2.883,111.534
12:39:24.979,0.5,2.851,110.239
12:39:24.987,0.5,2.815,108.971
12:39:24.995,0.5,2.775,107.78
12:39:25.003,0.5,2.731,106.667
12:39:25.011,0.505,2.684,105.631
12:39:25.019,0.505,2.633,104.621
12:39:25.027,0.54,2.578,103.638
12:39:25.035,0.67,2.516,102.757
12:39:25.043,0.93,2.456,101.929
12:39:25.051,1.146,2.393,101.178
12:39:25.059,1.055,2.321,100.453
12:39:25.067,0.735,2.243,99.883
12:39:25.075,0.455,2.164,99.34
12:39:25.083,0.35,2.087,98.874
12:39:25.091,0.37,2.016,98.408
12:39:25.099,0.425,1.952,98.071
12:39:25.107,0.45,1.898,97.709
12:39:25.115,0.46,1.854,97.476
12:39:25.123,0.47,1.821,97.294
12:39:25.131,0.475,1.796,97.191
12:39:25.139,0.48,1.778,97.061
12:39:25.147,0.48,1.765,97.01
12:39:25.155,0.48,1.754,97.01
12:39:25.163,0.48,1.742,96.958
12:39:25.171,0.48,1.729,96.777
12:39:25.179,0.48,1.717,96.647
12:39:25.187,0.48,1.703,96.466
12:39:25.195,0.485,1.687,96.181
12:39:25.203,0.485,1.671,95.845
12:39:25.211,0.485,1.652,95.353
